Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Cryogenic Technology Product 001,610.9,8.1,4.1,4.6,True,QualityControl,High,2025-07-01
Cryogenic Technology Product 002,158.7,8.7,1.6,1.5,False,Rack10,Low,2025-07-02
Cryogenic Technology Product 003,396.1,2.0,5.1,3.7,False,SectionB,High,2025-07-03
Cryogenic Technology Product 004,323.4,1.1,1.6,6.0,True,HeavyItems,High,2025-07-04
Cryogenic Technology Product 005,99.0,9.4,5.1,2.3,True,Basement2,Medium,2025-07-05
Cryogenic Technology Product 006,166.0,14.1,6.1,2.8,True,FragileItems,Low,2025-07-06
Cryogenic Technology Product 007,291.6,11.6,4.0,2.6,True,ZoneH,High,2025-07-07
Cryogenic Technology Product 008,506.9,14.1,1.2,0.3,False,HighBay4,Medium,2025-07-08
Cryogenic Technology Product 009,161.0,15.7,1.6,1.5,True,HighBay5,High,2025-07-09
Cryogenic Technology Product 010,168.4,11.9,3.2,2.9,False,ShelfArea5,Low,2025-07-10
Cryogenic Technology Product 011,224.7,13.2,4.3,2.9,True,Aisle9,Medium,2025-07-11
Cryogenic Technology Product 012,121.0,2.3,0.6,2.4,False,Floor3,Medium,2025-07-12
Cryogenic Technology Product 013,279.2,6.0,5.5,0.4,False,ReceivingArea,Medium,2025-07-13
Cryogenic Technology Product 014,386.3,1.6,1.6,3.3,True,SectionF,Low,2025-07-14
Cryogenic Technology Product 015,299.1,6.1,5.8,2.8,False,Aisle10,Low,2025-07-15
Cryogenic Technology Product 016,264.2,12.5,1.9,2.7,False,ZoneE,High,2025-07-16
Cryogenic Technology Product 017,458.2,6.1,6.0,2.3,True,LargeItems,Medium,2025-07-17
Cryogenic Technology Product 018,730.6,13.3,1.2,1.8,True,QualityControl,Low,2025-07-18
Cryogenic Technology Product 019,468.8,4.6,3.0,4.9,False,ExpressLane,High,2025-07-19
Cryogenic Technology Product 020,377.7,9.1,1.4,1.8,True,ManualStorage3,Medium,2025-07-20
Cryogenic Technology Product 021,527.9,6.7,1.0,0.3,True,LoadingDock5,High,2025-07-21
Cryogenic Technology Product 022,544.6,11.9,5.1,1.3,True,FastMoving,Low,2025-07-22
Cryogenic Technology Product 023,87.8,4.0,1.1,1.5,True,PalletArea2,High,2025-07-23
Cryogenic Technology Product 024,642.5,4.0,0.4,5.8,False,OverflowStorage,High,2025-07-24
Cryogenic Technology Product 025,85.0,3.8,1.9,4.3,True,AutomatedStorage1,Low,2025-07-25
Cryogenic Technology Product 026,400.5,13.5,0.5,3.5,True,ZoneA,Medium,2025-07-26
Cryogenic Technology Product 027,2.1,3.1,3.7,5.2,False,ZoneJ,High,2025-07-27
Cryogenic Technology Product 028,476.7,5.3,4.5,1.4,True,ZoneJ,Medium,2025-07-28
Cryogenic Technology Product 029,32.8,6.5,3.2,3.8,False,ManualStorage2,Medium,2025-07-29
Cryogenic Technology Product 030,138.3,9.0,3.5,0.5,True,SectionA,Low,2025-07-30
Cryogenic Technology Product 031,440.9,8.9,4.5,1.9,True,BulkItems,Low,2025-07-01
Cryogenic Technology Product 032,243.7,5.5,2.4,2.9,False,AutomatedStorage3,Medium,2025-07-02
Cryogenic Technology Product 033,168.9,5.4,4.1,2.3,True,HighBay3,Low,2025-07-03
Cryogenic Technology Product 034,614.5,13.7,2.7,4.5,True,PalletArea5,Medium,2025-07-04
Cryogenic Technology Product 035,160.3,1.2,3.8,2.3,True,ManualStorage5,High,2025-07-05
Cryogenic Technology Product 036,337.7,3.3,2.1,4.2,True,LargeItems,Medium,2025-07-06
Cryogenic Technology Product 037,154.5,7.6,2.1,2.5,True,HazardousStorage,Low,2025-07-07
Cryogenic Technology Product 038,459.4,14.0,4.8,1.6,True,PremiumLane,Medium,2025-07-08
Cryogenic Technology Product 039,373.5,10.5,4.3,2.2,True,BulkItems,Low,2025-07-09
Cryogenic Technology Product 040,160.4,9.8,4.4,1.6,True,SmallItemStorage,Medium,2025-07-10
Cryogenic Technology Product 041,512.0,11.4,8.1,4.3,True,Rack8,Medium,2025-07-11
Cryogenic Technology Product 042,365.1,8.5,1.3,0.6,False,ZoneG,Medium,2025-07-12
Cryogenic Technology Product 043,422.6,2.4,1.0,0.3,False,ZoneE,Low,2025-07-13
Cryogenic Technology Product 044,510.2,3.0,1.9,2.2,False,Aisle5,Medium,2025-07-14
Cryogenic Technology Product 045,258.9,3.0,1.7,5.2,False,HeavyItems,Medium,2025-07-15
Cryogenic Technology Product 046,319.1,1.0,1.3,3.1,True,SlowMoving,High,2025-07-16
Cryogenic Technology Product 047,463.8,3.5,4.9,0.4,False,BulkStorage,High,2025-07-17
Cryogenic Technology Product 048,314.4,3.4,4.0,0.2,False,Aisle2,Low,2025-07-18
Cryogenic Technology Product 049,138.7,4.2,3.1,2.3,True,Basement2,High,2025-07-19
Cryogenic Technology Product 050,5.1,9.7,0.7,1.3,False,Aisle5,Low,2025-07-20
Cryogenic Technology Product 051,471.8,10.6,6.4,0.6,False,QualityControl,High,2025-07-21
Cryogenic Technology Product 052,270.1,3.2,4.2,3.1,True,Rack1,Low,2025-07-22
Cryogenic Technology Product 053,33.3,2.2,3.3,0.5,False,Rack10,High,2025-07-23
Cryogenic Technology Product 054,461.9,3.6,5.0,1.9,True,Basement1,Medium,2025-07-24
Cryogenic Technology Product 055,673.7,3.8,1.6,3.7,True,ManualStorage5,High,2025-07-25
Cryogenic Technology Product 056,364.5,2.2,1.7,4.6,True,Basement5,Low,2025-07-26
Cryogenic Technology Product 057,145.5,7.8,2.3,1.0,True,Aisle1,Medium,2025-07-27
Cryogenic Technology Product 058,296.8,3.0,2.2,0.8,False,QualityControl,Low,2025-07-28
Cryogenic Technology Product 059,281.3,4.7,4.7,3.3,True,ExpressLane,Low,2025-07-29
Cryogenic Technology Product 060,607.3,11.7,2.7,0.4,True,ExpressLane,Low,2025-07-30
Cryogenic Technology Product 061,785.8,11.3,3.4,3.7,True,BulkStorage,Medium,2025-07-01
Cryogenic Technology Product 062,120.3,7.4,5.7,3.3,False,PalletArea3,Low,2025-07-02
Cryogenic Technology Product 063,65.0,9.5,3.1,3.2,False,ZoneC,High,2025-07-03
Cryogenic Technology Product 064,199.1,12.0,2.4,1.0,False,SectionE,Medium,2025-07-04
Cryogenic Technology Product 065,179.1,11.2,3.0,1.4,True,AutomatedStorage2,Low,2025-07-05
Cryogenic Technology Product 066,201.9,6.0,4.9,1.3,False,AutomatedStorage2,High,2025-07-06
Cryogenic Technology Product 067,429.4,8.6,6.2,0.9,True,Aisle8,High,2025-07-07
Cryogenic Technology Product 068,207.4,5.0,5.5,0.6,False,Rack10,High,2025-07-08
Cryogenic Technology Product 069,711.7,5.3,3.5,2.0,False,Priority2,Medium,2025-07-09
Cryogenic Technology Product 070,220.4,2.5,1.0,0.4,False,SectionF,Medium,2025-07-10
Cryogenic Technology Product 071,536.9,15.8,5.2,2.4,True,ZoneG,High,2025-07-11
Cryogenic Technology Product 072,159.6,4.6,2.7,3.1,False,Rack4,Low,2025-07-12
Cryogenic Technology Product 073,756.0,8.8,0.4,4.5,False,Aisle1,Medium,2025-07-13
Cryogenic Technology Product 074,153.9,8.4,5.2,0.4,True,Basement4,Low,2025-07-14
Cryogenic Technology Product 075,16.8,12.5,6.1,1.5,True,HazardousStorage,Medium,2025-07-15
Cryogenic Technology Product 076,469.4,6.8,4.3,2.3,False,Basement4,Medium,2025-07-16
Cryogenic Technology Product 077,242.1,3.6,4.0,1.8,False,Aisle1,High,2025-07-17
Cryogenic Technology Product 078,641.6,7.0,3.6,4.2,True,ZoneH,High,2025-07-18
Cryogenic Technology Product 079,53.8,2.0,2.2,6.2,False,HighBay1,Medium,2025-07-19
Cryogenic Technology Product 080,347.1,3.5,6.9,4.9,False,Rack9,Low,2025-07-20
Cryogenic Technology Product 081,389.9,10.8,2.8,1.2,True,SectionF,Medium,2025-07-21
Cryogenic Technology Product 082,342.2,3.6,5.1,5.2,False,ZoneI,Low,2025-07-22
Cryogenic Technology Product 083,349.5,14.6,1.5,2.0,False,EconomyLane,Medium,2025-07-23
Cryogenic Technology Product 084,323.8,7.7,2.1,4.3,True,Aisle3,Low,2025-07-24
Cryogenic Technology Product 085,244.4,3.6,3.7,3.6,False,BulkStorage,Medium,2025-07-25
Cryogenic Technology Product 086,289.1,4.0,1.0,6.1,False,SectionE,High,2025-07-26
Cryogenic Technology Product 087,253.5,11.5,2.6,1.6,True,OverflowLane,High,2025-07-27
Cryogenic Technology Product 088,208.8,10.5,1.8,1.5,True,ZoneH,Low,2025-07-28
Cryogenic Technology Product 089,878.0,8.2,5.5,0.4,False,ZoneB,Low,2025-07-29
Cryogenic Technology Product 090,358.5,5.9,1.4,2.9,True,ZoneE,Low,2025-07-30
Cryogenic Technology Product 091,215.3,8.0,5.3,3.9,True,SlowMoving,High,2025-07-01
Cryogenic Technology Product 092,25.6,4.7,4.1,2.7,False,Basement4,Low,2025-07-02
Cryogenic Technology Product 093,283.8,0.6,3.5,5.1,True,MediumItems,High,2025-07-03
Cryogenic Technology Product 094,458.3,3.4,1.8,1.2,False,ShelfArea4,Low,2025-07-04
Cryogenic Technology Product 095,377.6,4.9,0.4,3.1,True,HighBay2,Low,2025-07-05
Cryogenic Technology Product 096,35.7,3.9,4.9,1.4,True,Rack6,Low,2025-07-06
Cryogenic Technology Product 097,716.1,10.3,5.8,3.7,False,SlowMoving,Medium,2025-07-07
Cryogenic Technology Product 098,624.3,10.9,2.1,0.5,True,Basement2,High,2025-07-08
Cryogenic Technology Product 099,367.0,7.1,1.5,1.8,False,Rack8,Medium,2025-07-09
Cryogenic Technology Product 100,79.9,2.1,8.0,4.7,False,ShelfArea5,Medium,2025-07-10
