Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Magnetic Technology Product 001,226.3,9.4,6.2,1.1,False,Aisle1,High,2025-07-01
Magnetic Technology Product 002,451.7,6.3,2.3,3.0,False,Floor3,High,2025-07-02
Magnetic Technology Product 003,1.9,9.3,3.3,3.8,False,Basement3,Low,2025-07-03
Magnetic Technology Product 004,142.0,6.4,6.4,2.7,True,ShelfArea1,High,2025-07-04
Magnetic Technology Product 005,768.5,5.2,5.6,1.2,False,LoadingDock1,High,2025-07-05
Magnetic Technology Product 006,56.3,6.3,6.2,2.5,True,ZoneD,Low,2025-07-06
Magnetic Technology Product 007,323.8,9.6,5.3,3.7,False,HighBay5,Low,2025-07-07
Magnetic Technology Product 008,495.3,0.9,1.7,4.8,True,Seasonal,High,2025-07-08
Magnetic Technology Product 009,669.6,11.7,6.7,4.8,True,LargeItems,Low,2025-07-09
Magnetic Technology Product 010,10.7,3.5,4.5,2.5,True,Floor1,High,2025-07-10
Magnetic Technology Product 011,64.6,4.9,1.4,2.6,False,SectionF,High,2025-07-11
Magnetic Technology Product 012,400.1,8.4,6.4,0.5,False,Aisle1,Low,2025-07-12
Magnetic Technology Product 013,294.6,8.9,4.8,1.2,True,EconomyLane,Medium,2025-07-13
Magnetic Technology Product 014,487.4,1.6,2.1,4.1,False,LoadingDock1,Low,2025-07-14
Magnetic Technology Product 015,398.9,6.9,2.9,3.8,False,ZoneG,Low,2025-07-15
Magnetic Technology Product 016,589.1,15.2,5.0,3.5,False,Rack1,Low,2025-07-16
Magnetic Technology Product 017,345.4,1.8,2.7,1.5,True,StandardLane,Medium,2025-07-17
Magnetic Technology Product 018,111.0,9.5,5.4,4.2,True,ZoneJ,Medium,2025-07-18
Magnetic Technology Product 019,563.3,5.9,1.8,2.2,False,ZoneA,High,2025-07-19
Magnetic Technology Product 020,550.5,1.0,0.5,0.2,False,Aisle6,Medium,2025-07-20
Magnetic Technology Product 021,642.8,4.0,2.2,6.2,True,Aisle9,Medium,2025-07-21
Magnetic Technology Product 022,546.8,10.7,1.5,3.3,False,ZoneB,Low,2025-07-22
Magnetic Technology Product 023,299.9,1.4,3.8,2.6,False,Floor5,Medium,2025-07-23
Magnetic Technology Product 024,36.5,4.1,4.7,1.4,True,SectionA,High,2025-07-24
Magnetic Technology Product 025,65.7,0.6,5.8,0.4,False,SectionA,Low,2025-07-25
Magnetic Technology Product 026,177.4,13.9,1.8,3.4,True,Floor4,High,2025-07-26
Magnetic Technology Product 027,39.4,5.4,1.7,3.1,True,SectionA,High,2025-07-27
Magnetic Technology Product 028,131.5,9.2,2.0,5.1,False,Priority3,Low,2025-07-28
Magnetic Technology Product 029,422.5,3.8,4.1,0.4,True,Mezzanine3,High,2025-07-29
Magnetic Technology Product 030,724.7,9.8,0.7,2.8,True,Basement4,Low,2025-07-30
Magnetic Technology Product 031,43.5,1.4,0.7,2.3,False,Aisle6,Medium,2025-07-01
Magnetic Technology Product 032,215.5,13.3,1.2,0.8,True,PremiumLane,High,2025-07-02
Magnetic Technology Product 033,749.5,3.1,2.3,0.6,True,Rack6,Medium,2025-07-03
Magnetic Technology Product 034,74.9,12.3,0.9,2.2,True,Aisle10,High,2025-07-04
Magnetic Technology Product 035,468.0,3.2,2.1,3.1,False,Priority5,Low,2025-07-05
Magnetic Technology Product 036,72.1,4.5,0.5,3.5,False,Priority4,Medium,2025-07-06
Magnetic Technology Product 037,20.2,0.7,4.3,0.6,True,QualityControl,High,2025-07-07
Magnetic Technology Product 038,431.4,7.9,0.7,2.2,False,ReturnsArea,High,2025-07-08
Magnetic Technology Product 039,288.4,6.1,2.1,3.3,False,HeavyItems,Medium,2025-07-09
Magnetic Technology Product 040,405.5,9.4,2.3,1.6,False,ZoneG,High,2025-07-10
Magnetic Technology Product 041,13.7,14.9,2.8,4.2,False,QualityControl,Medium,2025-07-11
Magnetic Technology Product 042,192.3,14.6,0.8,1.5,True,LoadingDock3,Medium,2025-07-12
Magnetic Technology Product 043,172.9,8.8,2.7,4.4,True,ZoneA,Low,2025-07-13
Magnetic Technology Product 044,216.9,10.7,7.8,2.3,False,Rack1,High,2025-07-14
Magnetic Technology Product 045,314.4,10.5,4.7,4.0,True,ZoneG,Low,2025-07-15
Magnetic Technology Product 046,489.0,3.9,7.2,3.2,True,ManualStorage4,Low,2025-07-16
Magnetic Technology Product 047,386.8,1.3,3.2,2.3,False,SectionG,High,2025-07-17
Magnetic Technology Product 048,272.5,14.7,3.6,4.7,False,LoadingDock3,High,2025-07-18
Magnetic Technology Product 049,450.1,1.1,4.4,2.1,True,BulkStorage,Low,2025-07-19
Magnetic Technology Product 050,398.1,5.0,5.3,3.6,True,Seasonal,Medium,2025-07-20
Magnetic Technology Product 051,175.9,8.5,4.4,3.2,False,SectionF,High,2025-07-21
Magnetic Technology Product 052,181.0,8.5,3.4,3.4,False,FragileItems,Low,2025-07-22
Magnetic Technology Product 053,122.6,3.5,1.8,2.6,False,Basement5,Medium,2025-07-23
Magnetic Technology Product 054,164.9,10.4,0.8,3.7,True,Rack6,Medium,2025-07-24
Magnetic Technology Product 055,284.4,4.5,1.3,1.1,True,Basement2,Low,2025-07-25
Magnetic Technology Product 056,550.9,12.7,5.2,1.3,True,Basement2,High,2025-07-26
Magnetic Technology Product 057,332.9,7.1,1.6,2.4,True,Aisle6,Low,2025-07-27
Magnetic Technology Product 058,301.2,0.9,4.9,2.5,True,QualityControl,High,2025-07-28
Magnetic Technology Product 059,53.7,0.5,1.6,5.3,False,Rack8,Low,2025-07-29
Magnetic Technology Product 060,447.5,11.1,5.3,1.8,False,Basement5,Medium,2025-07-30
Magnetic Technology Product 061,459.1,5.0,1.1,0.9,True,AutomatedStorage1,Medium,2025-07-01
Magnetic Technology Product 062,265.4,6.5,3.3,5.3,False,SectionC,Medium,2025-07-02
Magnetic Technology Product 063,197.7,6.1,2.6,1.2,False,HazardousStorage,High,2025-07-03
Magnetic Technology Product 064,453.7,10.7,4.2,0.8,False,ShelfArea4,High,2025-07-04
Magnetic Technology Product 065,20.2,1.2,1.4,3.2,True,Aisle6,High,2025-07-05
Magnetic Technology Product 066,392.0,2.7,2.7,3.6,True,ReceivingArea,Medium,2025-07-06
Magnetic Technology Product 067,280.7,11.4,1.1,3.7,False,HeavyItems,Low,2025-07-07
Magnetic Technology Product 068,72.8,7.7,5.5,5.9,False,Priority1,Medium,2025-07-08
Magnetic Technology Product 069,360.1,8.5,3.2,3.7,True,Basement3,High,2025-07-09
Magnetic Technology Product 070,844.8,5.9,4.7,4.5,True,FragileItems,Medium,2025-07-10
Magnetic Technology Product 071,503.5,12.2,2.6,3.4,False,ManualStorage2,High,2025-07-11
Magnetic Technology Product 072,23.0,8.6,3.2,1.5,False,ZoneC,High,2025-07-12
Magnetic Technology Product 073,332.5,5.1,3.9,2.2,True,PalletArea4,Medium,2025-07-13
Magnetic Technology Product 074,507.5,1.1,4.4,4.3,False,DryStorage,Low,2025-07-14
Magnetic Technology Product 075,300.2,1.0,0.7,4.9,True,ZoneF,Medium,2025-07-15
Magnetic Technology Product 076,12.2,3.1,6.0,1.7,False,Rack2,Low,2025-07-16
Magnetic Technology Product 077,183.8,3.2,4.8,3.2,True,LoadingDock5,High,2025-07-17
Magnetic Technology Product 078,207.1,14.0,0.4,5.7,True,Rack1,Low,2025-07-18
Magnetic Technology Product 079,682.7,9.7,4.7,3.2,True,Floor2,High,2025-07-19
Magnetic Technology Product 080,109.8,6.7,2.8,2.4,False,AutomatedStorage4,Medium,2025-07-20
Magnetic Technology Product 081,38.3,4.2,2.3,2.1,True,SectionF,Medium,2025-07-21
Magnetic Technology Product 082,103.7,10.1,1.2,4.8,True,Mezzanine1,High,2025-07-22
Magnetic Technology Product 083,643.8,4.4,5.2,2.1,True,ShelfArea4,Medium,2025-07-23
Magnetic Technology Product 084,13.1,10.7,2.8,0.9,False,AutomatedStorage3,High,2025-07-24
Magnetic Technology Product 085,265.0,2.7,2.4,2.9,False,Aisle2,Low,2025-07-25
Magnetic Technology Product 086,375.6,2.8,2.5,3.2,False,HighBay3,High,2025-07-26
Magnetic Technology Product 087,128.0,0.7,3.1,2.0,False,SectionG,Medium,2025-07-27
Magnetic Technology Product 088,573.8,10.6,3.4,3.3,False,HighBay1,Low,2025-07-28
Magnetic Technology Product 089,509.4,4.5,2.3,3.7,True,Aisle3,Low,2025-07-29
Magnetic Technology Product 090,370.8,8.9,2.9,1.3,True,ZoneH,Medium,2025-07-30
Magnetic Technology Product 091,353.9,11.3,4.8,4.6,True,AutomatedStorage4,Medium,2025-07-01
Magnetic Technology Product 092,146.6,2.7,4.5,5.3,False,Aisle6,Medium,2025-07-02
Magnetic Technology Product 093,424.2,6.4,3.9,2.7,True,ShelfArea2,High,2025-07-03
