Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Electrical Technology Product 001,898.5,10.0,7.1,3.6,True,ShelfArea2,Medium,2025-07-01
Electrical Technology Product 002,40.1,4.2,6.7,3.2,False,ManualStorage4,High,2025-07-02
Electrical Technology Product 003,415.1,1.0,4.6,5.2,True,SectionB,Medium,2025-07-03
Electrical Technology Product 004,783.0,8.2,3.5,3.4,True,Rack5,Medium,2025-07-04
Electrical Technology Product 005,493.4,6.4,0.5,2.2,True,ShelfArea5,Low,2025-07-05
Electrical Technology Product 006,66.0,12.6,7.0,3.7,True,SectionC,High,2025-07-06
Electrical Technology Product 007,144.9,3.3,4.9,1.6,True,Basement4,High,2025-07-07
Electrical Technology Product 008,561.1,8.7,2.3,1.4,False,Rack1,Low,2025-07-08
Electrical Technology Product 009,200.1,7.7,4.8,2.6,True,ShelfArea1,Medium,2025-07-09
Electrical Technology Product 010,809.9,8.2,0.3,2.3,True,ShelfArea3,Low,2025-07-10
Electrical Technology Product 011,422.5,10.3,0.8,2.0,False,ManualStorage1,High,2025-07-11
Electrical Technology Product 012,450.2,13.7,2.4,2.2,False,ShelfArea2,High,2025-07-12
Electrical Technology Product 013,377.1,13.2,3.2,4.6,False,PalletArea3,High,2025-07-13
Electrical Technology Product 014,446.5,8.2,5.2,2.0,False,ColdStorage,High,2025-07-14
Electrical Technology Product 015,367.2,1.4,0.3,3.9,True,Seasonal,Low,2025-07-15
Electrical Technology Product 016,220.7,12.5,5.6,3.9,True,LightItems,Low,2025-07-16
Electrical Technology Product 017,180.0,13.2,2.4,0.6,True,LightItems,High,2025-07-17
Electrical Technology Product 018,55.8,14.9,3.9,4.0,True,Mezzanine3,Medium,2025-07-18
Electrical Technology Product 019,599.3,11.6,6.3,5.5,True,SmallItemStorage,High,2025-07-19
Electrical Technology Product 020,911.2,1.0,2.2,3.6,False,LargeItems,High,2025-07-20
Electrical Technology Product 021,139.6,0.9,2.1,2.5,False,AutomatedStorage1,Medium,2025-07-21
Electrical Technology Product 022,360.6,4.5,4.4,1.9,True,ManualStorage4,High,2025-07-22
Electrical Technology Product 023,204.6,11.3,2.1,0.7,True,ShelfArea2,Low,2025-07-23
Electrical Technology Product 024,479.9,9.1,6.1,5.5,False,Aisle2,High,2025-07-24
Electrical Technology Product 025,50.4,6.3,5.9,4.5,False,ZoneH,Low,2025-07-25
Electrical Technology Product 026,554.4,10.4,1.8,2.7,False,HighBay5,Low,2025-07-26
Electrical Technology Product 027,448.0,9.5,0.4,1.4,True,Aisle9,High,2025-07-27
Electrical Technology Product 028,443.2,15.8,3.4,0.5,True,HighBay5,Medium,2025-07-28
Electrical Technology Product 029,172.7,6.8,6.9,4.8,False,Rack8,Medium,2025-07-29
Electrical Technology Product 030,382.0,9.7,3.2,2.3,False,LoadingDock1,Medium,2025-07-30
Electrical Technology Product 031,591.3,9.2,1.9,3.2,True,ShippingArea,Low,2025-07-01
Electrical Technology Product 032,172.5,2.2,4.9,2.0,True,Aisle8,High,2025-07-02
Electrical Technology Product 033,284.3,11.4,6.0,2.7,False,Floor1,Medium,2025-07-03
Electrical Technology Product 034,603.3,7.6,1.4,3.8,True,ShelfArea1,Low,2025-07-04
Electrical Technology Product 035,305.9,15.2,4.1,2.5,True,LoadingDock1,Medium,2025-07-05
Electrical Technology Product 036,27.3,1.5,2.2,2.7,False,HighBay5,High,2025-07-06
Electrical Technology Product 037,209.5,12.3,1.2,0.5,False,BulkItems,Medium,2025-07-07
Electrical Technology Product 038,381.5,12.7,3.3,2.8,False,Mezzanine2,Medium,2025-07-08
Electrical Technology Product 039,197.8,7.9,1.6,1.1,False,Mezzanine5,High,2025-07-09
Electrical Technology Product 040,368.8,10.7,3.7,2.8,False,LoadingDock5,Low,2025-07-10
Electrical Technology Product 041,130.3,10.3,2.8,1.2,False,Mezzanine2,High,2025-07-11
Electrical Technology Product 042,522.5,11.8,2.2,0.8,False,Aisle10,High,2025-07-12
Electrical Technology Product 043,299.7,9.8,3.3,2.3,True,ManualStorage3,Low,2025-07-13
Electrical Technology Product 044,376.9,0.9,3.4,0.7,False,FastMoving,Medium,2025-07-14
Electrical Technology Product 045,609.4,2.9,0.9,1.2,False,Floor1,Low,2025-07-15
Electrical Technology Product 046,385.3,0.4,2.0,6.3,True,AutomatedStorage2,Low,2025-07-16
Electrical Technology Product 047,309.8,8.1,3.9,0.3,True,Aisle3,High,2025-07-17
Electrical Technology Product 048,53.2,3.0,4.9,5.8,True,Mezzanine4,Medium,2025-07-18
Electrical Technology Product 049,442.1,1.3,0.5,1.9,True,ReceivingArea,High,2025-07-19
Electrical Technology Product 050,67.1,10.1,2.8,2.3,True,Priority5,Low,2025-07-20
Electrical Technology Product 051,436.7,4.9,0.5,3.5,True,Mezzanine1,Medium,2025-07-21
Electrical Technology Product 052,601.9,11.6,1.1,1.6,False,LargeItems,Medium,2025-07-22
Electrical Technology Product 053,533.8,4.4,3.5,1.0,True,StandardLane,High,2025-07-23
Electrical Technology Product 054,539.5,5.8,1.0,4.8,False,SmallItems,Medium,2025-07-24
Electrical Technology Product 055,603.9,6.9,0.7,4.1,False,PalletArea4,Low,2025-07-25
Electrical Technology Product 056,512.2,6.6,1.5,0.2,True,ShelfArea1,Medium,2025-07-26
Electrical Technology Product 057,738.5,5.4,4.7,1.4,True,FastMoving,Low,2025-07-27
Electrical Technology Product 058,585.0,12.2,3.0,2.8,False,LoadingDock4,High,2025-07-28
Electrical Technology Product 059,643.0,4.9,3.9,3.2,False,Rack7,Medium,2025-07-29
Electrical Technology Product 060,712.0,6.3,0.5,3.6,False,ZoneE,Medium,2025-07-30
Electrical Technology Product 061,26.1,0.7,1.7,1.6,False,HighBay2,Medium,2025-07-01
Electrical Technology Product 062,394.0,9.2,4.5,0.5,False,SectionB,Medium,2025-07-02
Electrical Technology Product 063,103.8,3.7,1.5,2.9,False,Rack6,Medium,2025-07-03
Electrical Technology Product 064,581.7,8.5,5.2,2.5,False,Floor3,Low,2025-07-04
Electrical Technology Product 065,340.6,4.2,5.2,2.3,False,SmallItemStorage,High,2025-07-05
Electrical Technology Product 066,282.0,3.5,1.5,5.7,False,ShelfArea3,Medium,2025-07-06
Electrical Technology Product 067,306.1,0.4,3.2,3.3,False,PalletArea4,Low,2025-07-07
Electrical Technology Product 068,667.8,7.3,5.1,1.7,False,StandardLane,High,2025-07-08
Electrical Technology Product 069,191.7,7.1,1.0,1.3,False,Aisle3,Medium,2025-07-09
Electrical Technology Product 070,306.7,5.6,1.5,0.5,True,ZoneG,Low,2025-07-10
Electrical Technology Product 071,478.6,7.6,2.6,5.6,True,ZoneF,High,2025-07-11
Electrical Technology Product 072,347.4,2.4,2.0,2.7,False,PremiumLane,Medium,2025-07-12
Electrical Technology Product 073,160.0,2.3,1.6,2.2,False,MediumItems,Low,2025-07-13
Electrical Technology Product 074,210.2,3.4,1.3,2.8,True,ZoneE,Medium,2025-07-14
Electrical Technology Product 075,400.3,14.6,1.7,2.6,True,StandardLane,Low,2025-07-15
Electrical Technology Product 076,35.0,10.7,6.3,1.6,False,LightItems,High,2025-07-16
Electrical Technology Product 077,633.2,5.7,6.9,0.7,True,ShelfArea4,Medium,2025-07-17
Electrical Technology Product 078,276.0,7.1,0.3,0.4,True,SectionE,High,2025-07-18
Electrical Technology Product 079,242.5,5.1,0.4,5.8,True,Floor3,Low,2025-07-19
Electrical Technology Product 080,171.2,7.5,5.9,3.1,True,Rack6,High,2025-07-20
Electrical Technology Product 081,594.0,9.1,3.2,2.7,True,ShelfArea3,High,2025-07-21
Electrical Technology Product 082,624.4,3.0,4.9,1.5,False,ZoneC,High,2025-07-22
Electrical Technology Product 083,452.3,10.2,4.1,4.1,False,LoadingDock5,Medium,2025-07-23
Electrical Technology Product 084,69.0,5.3,0.6,2.1,False,ZoneA,Low,2025-07-24
Electrical Technology Product 085,28.7,1.6,4.1,2.0,True,ShippingArea,High,2025-07-25
Electrical Technology Product 086,603.7,13.4,7.1,4.2,True,Floor3,Low,2025-07-26
Electrical Technology Product 087,600.9,6.5,7.9,4.6,True,Aisle5,Low,2025-07-27
Electrical Technology Product 088,339.6,1.2,2.9,1.5,True,AutomatedStorage2,Low,2025-07-28
Electrical Technology Product 089,805.4,1.6,1.3,3.7,False,AutomatedStorage4,Low,2025-07-29
Electrical Technology Product 090,204.4,7.3,1.3,3.1,True,ManualStorage1,Medium,2025-07-30
Electrical Technology Product 091,369.4,9.8,2.4,2.9,False,ManualStorage4,Low,2025-07-01
Electrical Technology Product 092,72.5,8.7,6.5,2.1,True,BulkStorage,Low,2025-07-02
Electrical Technology Product 093,440.8,8.9,1.2,2.2,False,OverflowLane,Medium,2025-07-03
Electrical Technology Product 094,561.7,8.1,5.2,2.3,True,Aisle1,Low,2025-07-04
Electrical Technology Product 095,286.7,12.3,1.2,0.5,False,Priority2,Medium,2025-07-05
Electrical Technology Product 096,660.8,6.7,0.5,3.0,True,QualityControl,Medium,2025-07-06
Electrical Technology Product 097,335.5,9.2,3.1,2.4,False,AutomatedStorage2,Medium,2025-07-07
Electrical Technology Product 098,558.5,0.6,2.4,1.9,True,Basement1,High,2025-07-08
Electrical Technology Product 099,523.2,5.0,3.2,0.7,False,Basement1,High,2025-07-09
Electrical Technology Product 100,188.3,10.7,0.2,4.1,False,ExpressLane,Medium,2025-07-10
