Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Electronic Technology Product 001,123.6,5.0,4.0,0.5,False,Floor2,High,2025-07-01
Electronic Technology Product 002,211.2,10.9,4.9,2.0,False,PalletArea4,High,2025-07-02
Electronic Technology Product 003,139.3,11.9,2.2,2.4,True,AutomatedStorage3,Medium,2025-07-03
Electronic Technology Product 004,439.3,8.8,3.9,5.4,True,HighBay2,Medium,2025-07-04
Electronic Technology Product 005,102.6,9.3,3.8,2.3,False,DryStorage,Low,2025-07-05
Electronic Technology Product 006,688.7,10.7,1.7,4.7,False,ShippingArea,High,2025-07-06
Electronic Technology Product 007,111.2,8.0,4.4,3.3,True,Rack7,High,2025-07-07
Electronic Technology Product 008,34.7,4.0,3.4,3.8,False,ShelfArea2,Medium,2025-07-08
Electronic Technology Product 009,224.1,7.6,7.2,0.9,True,ZoneE,High,2025-07-09
Electronic Technology Product 010,698.0,8.4,3.8,1.1,True,Priority3,Low,2025-07-10
Electronic Technology Product 011,55.6,5.9,3.5,4.1,True,Aisle2,Low,2025-07-11
Electronic Technology Product 012,722.4,4.8,0.6,3.7,True,ShelfArea2,High,2025-07-12
Electronic Technology Product 013,290.5,11.3,1.6,0.4,False,Mezzanine3,High,2025-07-13
Electronic Technology Product 014,8.8,4.1,4.1,0.2,True,ZoneD,High,2025-07-14
Electronic Technology Product 015,492.1,14.1,5.0,1.1,False,ZoneJ,Medium,2025-07-15
Electronic Technology Product 016,361.3,8.9,1.5,1.7,True,AutomatedStorage2,High,2025-07-16
Electronic Technology Product 017,402.5,3.9,2.1,1.5,True,ShelfArea4,High,2025-07-17
Electronic Technology Product 018,433.8,0.8,4.8,0.3,True,Priority3,Medium,2025-07-18
Electronic Technology Product 019,208.6,0.9,1.1,1.7,True,HighBay1,High,2025-07-19
Electronic Technology Product 020,443.0,13.0,3.7,4.7,False,HighBay1,Low,2025-07-20
Electronic Technology Product 021,746.4,14.6,2.2,4.3,True,ZoneJ,Low,2025-07-21
Electronic Technology Product 022,522.6,6.2,7.8,2.4,False,Rack7,Low,2025-07-22
Electronic Technology Product 023,396.6,1.6,3.8,2.1,False,Basement3,Medium,2025-07-23
Electronic Technology Product 024,107.1,9.3,4.4,1.9,False,LoadingDock1,High,2025-07-24
Electronic Technology Product 025,654.5,3.5,5.8,4.0,False,Mezzanine5,Low,2025-07-25
Electronic Technology Product 026,451.5,2.6,3.5,2.6,False,ZoneE,Low,2025-07-26
Electronic Technology Product 027,321.4,0.7,1.1,1.1,False,ZoneA,Low,2025-07-27
Electronic Technology Product 028,212.5,11.6,3.4,4.2,True,Aisle1,Low,2025-07-28
Electronic Technology Product 029,453.3,5.5,5.0,3.7,True,OverflowStorage,High,2025-07-29
Electronic Technology Product 030,302.1,2.5,1.5,2.8,False,Basement2,Medium,2025-07-30
Electronic Technology Product 031,127.5,0.5,6.6,0.7,True,Aisle10,High,2025-07-01
Electronic Technology Product 032,78.6,7.8,0.7,0.8,False,LightItems,Medium,2025-07-02
Electronic Technology Product 033,40.8,8.6,3.1,2.8,False,ShelfArea3,Medium,2025-07-03
Electronic Technology Product 034,223.9,7.0,3.2,4.1,True,QualityControl,Low,2025-07-04
Electronic Technology Product 035,313.2,0.5,3.4,3.5,False,ZoneG,Medium,2025-07-05
Electronic Technology Product 036,647.7,4.0,2.7,2.1,False,Rack2,Medium,2025-07-06
Electronic Technology Product 037,341.8,5.3,5.1,1.1,False,PalletArea2,Low,2025-07-07
Electronic Technology Product 038,466.8,2.5,2.7,2.2,True,ZoneA,Medium,2025-07-08
