Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Digital Technology Product 001,62.2,11.6,4.9,2.2,True,HighBay3,High,2025-07-01
Digital Technology Product 002,153.7,7.3,1.3,3.3,False,OverflowStorage,High,2025-07-02
Digital Technology Product 003,451.8,7.7,2.1,0.2,True,Basement1,Low,2025-07-03
Digital Technology Product 004,453.9,1.5,3.2,0.2,False,ManualStorage1,Medium,2025-07-04
Digital Technology Product 005,21.7,15.1,5.8,1.2,True,ManualStorage3,High,2025-07-05
Digital Technology Product 006,95.6,5.9,4.1,4.7,True,ReceivingArea,Low,2025-07-06
Digital Technology Product 007,358.4,0.6,0.3,4.9,True,ManualStorage5,High,2025-07-07
Digital Technology Product 008,407.6,10.3,4.9,2.7,False,Priority3,Medium,2025-07-08
Digital Technology Product 009,479.1,1.4,4.6,0.3,False,LargeItems,Low,2025-07-09
Digital Technology Product 010,11.6,10.0,1.0,2.0,True,Floor1,Low,2025-07-10
Digital Technology Product 011,554.7,2.9,0.9,4.0,True,ManualStorage1,High,2025-07-11
Digital Technology Product 012,195.8,7.0,2.4,5.1,True,Mezzanine3,Medium,2025-07-12
Digital Technology Product 013,571.3,9.0,5.9,4.5,False,ShelfArea4,Medium,2025-07-13
Digital Technology Product 014,514.4,9.3,5.2,3.5,False,Priority3,High,2025-07-14
Digital Technology Product 015,163.7,5.1,2.0,4.6,True,Mezzanine4,High,2025-07-15
Digital Technology Product 016,346.9,5.1,2.6,2.6,True,Rack6,High,2025-07-16
Digital Technology Product 017,697.4,5.6,1.3,1.0,False,Mezzanine5,Medium,2025-07-17
Digital Technology Product 018,275.7,12.2,2.1,0.7,False,ZoneG,Medium,2025-07-18
Digital Technology Product 019,561.7,4.1,1.2,3.2,True,Mezzanine1,High,2025-07-19
Digital Technology Product 020,575.7,6.8,0.4,1.1,False,LoadingDock4,Medium,2025-07-20
Digital Technology Product 021,236.0,13.8,4.1,1.0,True,LoadingDock2,Medium,2025-07-21
Digital Technology Product 022,13.1,3.5,3.3,0.9,True,SectionB,High,2025-07-22
Digital Technology Product 023,150.9,9.4,3.2,1.7,True,LoadingDock4,Medium,2025-07-23
Digital Technology Product 024,544.1,6.7,6.0,2.4,False,Priority5,High,2025-07-24
Digital Technology Product 025,29.6,3.9,3.5,0.7,True,Floor4,High,2025-07-25
Digital Technology Product 026,49.6,12.2,3.5,0.5,True,ExpressLane,Medium,2025-07-26
Digital Technology Product 027,299.2,1.4,2.6,2.7,False,Rack2,Medium,2025-07-27
Digital Technology Product 028,176.9,4.0,4.1,4.5,True,Floor3,High,2025-07-28
Digital Technology Product 029,469.2,1.7,2.1,2.5,False,ZoneJ,High,2025-07-29
Digital Technology Product 030,424.9,2.4,1.4,2.9,True,Rack7,High,2025-07-30
Digital Technology Product 031,200.0,2.8,7.7,4.5,False,Floor3,High,2025-07-01
Digital Technology Product 032,106.8,6.7,2.7,3.4,False,OverflowLane,Medium,2025-07-02
Digital Technology Product 033,564.4,6.7,0.8,3.2,True,FragileItems,High,2025-07-03
Digital Technology Product 034,607.6,13.0,1.4,4.9,False,ZoneH,High,2025-07-04
Digital Technology Product 035,274.5,2.6,4.8,3.8,False,Rack2,High,2025-07-05
Digital Technology Product 036,751.1,2.0,4.6,2.5,False,BulkItems,High,2025-07-06
Digital Technology Product 037,276.3,7.4,4.4,0.6,False,Basement4,Medium,2025-07-07
Digital Technology Product 038,240.1,1.5,5.1,3.1,True,Aisle8,High,2025-07-08
Digital Technology Product 039,463.1,2.6,2.5,5.4,False,StandardLane,High,2025-07-09
Digital Technology Product 040,92.8,3.5,6.9,3.2,True,SmallItems,Medium,2025-07-10
Digital Technology Product 041,489.5,8.2,4.9,3.4,False,AutomatedStorage3,Low,2025-07-11
Digital Technology Product 042,5.9,3.1,0.5,4.6,True,AutomatedStorage3,High,2025-07-12
Digital Technology Product 043,794.2,2.8,1.4,2.6,False,Aisle4,High,2025-07-13
Digital Technology Product 044,92.8,1.7,2.9,3.3,False,Rack6,High,2025-07-14
Digital Technology Product 045,299.4,14.5,2.0,1.7,False,SlowMoving,Medium,2025-07-15
Digital Technology Product 046,156.9,9.5,4.5,1.1,False,Rack2,Medium,2025-07-16
Digital Technology Product 047,854.1,12.9,1.7,1.7,True,ManualStorage2,Medium,2025-07-17
Digital Technology Product 048,341.9,8.0,2.7,0.9,True,SectionB,Low,2025-07-18
Digital Technology Product 049,322.7,10.0,8.0,1.8,False,PremiumLane,High,2025-07-19
Digital Technology Product 050,54.8,12.6,2.3,1.3,False,LightItems,Medium,2025-07-20
Digital Technology Product 051,425.4,4.4,1.0,3.1,False,ZoneG,Low,2025-07-21
Digital Technology Product 052,629.3,8.0,4.9,1.4,True,HighBay2,Low,2025-07-22
Digital Technology Product 053,536.9,4.3,4.9,1.0,False,PalletArea1,High,2025-07-23
Digital Technology Product 054,310.2,2.6,4.4,1.1,False,ZoneA,Low,2025-07-24
Digital Technology Product 055,8.3,10.3,3.3,5.7,False,StandardLane,High,2025-07-25
Digital Technology Product 056,239.6,11.1,4.3,0.7,False,Rack4,Low,2025-07-26
Digital Technology Product 057,370.7,5.1,3.2,2.7,False,Floor5,Low,2025-07-27
Digital Technology Product 058,616.0,1.9,3.6,1.4,True,Rack7,Low,2025-07-28
Digital Technology Product 059,104.6,12.4,0.8,2.8,True,Basement1,High,2025-07-29
Digital Technology Product 060,173.9,0.7,2.5,0.9,False,ManualStorage4,High,2025-07-30
Digital Technology Product 061,115.9,8.6,4.7,4.3,True,LoadingDock5,High,2025-07-01
Digital Technology Product 062,112.1,3.0,2.7,1.3,True,HeavyItems,High,2025-07-02
Digital Technology Product 063,246.9,2.9,3.7,3.5,False,SmallItems,High,2025-07-03
Digital Technology Product 064,350.6,8.8,3.6,0.6,True,ShippingArea,Low,2025-07-04
Digital Technology Product 065,183.4,2.2,7.6,1.1,True,FragileItems,High,2025-07-05
Digital Technology Product 066,576.5,0.3,1.9,0.7,False,SmallItemStorage,Medium,2025-07-06
Digital Technology Product 067,331.0,11.4,3.9,1.0,False,SectionD,Low,2025-07-07
Digital Technology Product 068,169.5,10.1,5.5,0.7,True,Floor4,Low,2025-07-08
Digital Technology Product 069,219.2,6.3,5.1,2.8,False,PalletArea5,Medium,2025-07-09
Digital Technology Product 070,449.6,1.1,0.8,5.4,True,FastMoving,Medium,2025-07-10
Digital Technology Product 071,375.2,8.9,4.8,2.3,False,HighBay3,Medium,2025-07-11
Digital Technology Product 072,501.4,11.0,1.0,0.3,False,ShelfArea3,Medium,2025-07-12
Digital Technology Product 073,389.9,2.1,1.0,3.9,False,LightItems,High,2025-07-13
Digital Technology Product 074,505.6,9.4,0.6,0.6,True,ManualStorage4,Low,2025-07-14
Digital Technology Product 075,142.8,1.7,6.7,1.1,True,AutomatedStorage3,High,2025-07-15
Digital Technology Product 076,170.2,0.4,3.5,1.5,False,OverflowStorage,Low,2025-07-16
Digital Technology Product 077,393.6,3.6,1.2,5.0,True,ZoneA,Low,2025-07-17
Digital Technology Product 078,170.1,13.0,2.8,2.3,False,Aisle7,High,2025-07-18
Digital Technology Product 079,457.1,10.3,0.8,1.7,False,Basement1,High,2025-07-19
Digital Technology Product 080,312.7,6.2,2.8,3.0,True,MediumItems,Low,2025-07-20
Digital Technology Product 081,452.7,2.9,6.8,0.5,True,Aisle10,Medium,2025-07-21
Digital Technology Product 082,132.9,8.4,3.6,1.5,False,PalletArea5,High,2025-07-22
Digital Technology Product 083,124.9,2.0,3.2,3.7,True,Rack1,High,2025-07-23
Digital Technology Product 084,280.9,3.7,7.9,2.3,True,ManualStorage3,Low,2025-07-24
Digital Technology Product 085,364.0,5.3,3.0,0.9,False,ShelfArea2,Low,2025-07-25
Digital Technology Product 086,26.5,3.1,2.0,4.5,False,ManualStorage1,Low,2025-07-26
Digital Technology Product 087,512.8,10.0,4.8,1.7,True,ZoneD,High,2025-07-27
Digital Technology Product 088,305.5,9.5,2.3,0.6,True,ManualStorage5,Medium,2025-07-28
Digital Technology Product 089,83.0,7.0,7.3,3.7,True,ZoneE,High,2025-07-29
Digital Technology Product 090,23.1,2.5,4.5,5.7,True,AutomatedStorage4,Low,2025-07-30
Digital Technology Product 091,473.6,9.1,2.9,0.8,True,Rack4,High,2025-07-01
Digital Technology Product 092,344.3,11.5,4.0,3.7,False,ZoneI,Medium,2025-07-02
Digital Technology Product 093,227.8,3.5,3.4,2.2,False,Basement2,Medium,2025-07-03
Digital Technology Product 094,146.9,4.0,2.3,1.7,True,PalletArea2,Medium,2025-07-04
Digital Technology Product 095,375.3,10.2,4.5,5.9,True,ZoneE,Medium,2025-07-05
Digital Technology Product 096,572.4,3.0,3.5,3.1,True,Rack5,Low,2025-07-06
Digital Technology Product 097,167.1,9.7,5.2,3.4,True,AutomatedStorage5,High,2025-07-07
Digital Technology Product 098,745.4,1.6,1.0,2.2,False,Priority2,Low,2025-07-08
Digital Technology Product 099,624.4,9.4,1.4,0.6,False,SectionC,Medium,2025-07-09
Digital Technology Product 100,219.1,1.5,7.2,2.7,True,PalletArea4,Medium,2025-07-10
