Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Analog Technology Product 001,366.6,4.1,5.7,1.0,False,DryStorage,High,2025-07-01
Analog Technology Product 002,500.6,8.3,2.6,3.2,False,ShelfArea1,Medium,2025-07-02
Analog Technology Product 003,442.1,5.2,1.4,1.5,False,AutomatedStorage2,Medium,2025-07-03
Analog Technology Product 004,220.8,10.7,2.3,5.0,False,ShippingArea,High,2025-07-04
Analog Technology Product 005,85.0,4.4,5.1,4.7,True,ExpressLane,Medium,2025-07-05
Analog Technology Product 006,419.7,10.4,2.4,2.7,True,Rack1,Low,2025-07-06
Analog Technology Product 007,345.7,13.8,1.5,4.9,True,Rack7,High,2025-07-07
Analog Technology Product 008,33.8,7.3,6.8,1.1,True,SmallItemStorage,High,2025-07-08
Analog Technology Product 009,261.3,9.4,3.8,5.6,True,ShippingArea,High,2025-07-09
Analog Technology Product 010,368.9,4.0,2.4,1.7,True,ZoneA,Low,2025-07-10
Analog Technology Product 011,242.0,3.7,1.2,4.9,False,Aisle1,High,2025-07-11
Analog Technology Product 012,366.6,9.5,2.3,0.5,False,Rack7,Medium,2025-07-12
Analog Technology Product 013,247.1,8.7,1.0,1.6,True,HighBay2,Medium,2025-07-13
Analog Technology Product 014,394.4,2.5,4.3,4.6,True,ManualStorage2,Low,2025-07-14
Analog Technology Product 015,154.7,7.6,7.8,6.2,False,LoadingDock3,Medium,2025-07-15
Analog Technology Product 016,223.6,0.9,4.6,2.3,False,ReceivingArea,Medium,2025-07-16
Analog Technology Product 017,571.6,5.3,0.9,4.5,True,PalletArea5,Medium,2025-07-17
Analog Technology Product 018,156.6,1.6,3.8,6.4,True,PalletArea1,High,2025-07-18
Analog Technology Product 019,122.4,1.9,2.4,0.4,False,Basement1,Medium,2025-07-19
Analog Technology Product 020,180.4,0.8,1.7,5.3,True,ExpressLane,Medium,2025-07-20
Analog Technology Product 021,228.1,1.4,2.3,4.7,True,PalletArea1,High,2025-07-21
Analog Technology Product 022,247.9,6.6,3.6,1.5,True,SectionD,Low,2025-07-22
Analog Technology Product 023,325.9,6.4,2.0,0.5,False,Floor3,Low,2025-07-23
Analog Technology Product 024,420.3,13.7,5.5,2.3,False,ZoneC,High,2025-07-24
Analog Technology Product 025,49.5,5.3,3.3,1.2,True,Priority1,Medium,2025-07-25
Analog Technology Product 026,841.5,8.6,0.5,1.9,True,SectionC,Low,2025-07-26
Analog Technology Product 027,484.2,5.2,7.3,4.1,True,PalletArea2,Medium,2025-07-27
Analog Technology Product 028,232.1,5.0,4.7,4.7,False,HeavyItems,High,2025-07-28
Analog Technology Product 029,483.5,0.6,5.6,2.3,True,ShelfArea5,Medium,2025-07-29
Analog Technology Product 030,162.9,6.6,2.6,2.5,False,Aisle3,Low,2025-07-30
Analog Technology Product 031,455.3,6.4,3.4,3.7,False,Rack9,Low,2025-07-01
Analog Technology Product 032,305.6,11.5,2.7,2.8,False,Aisle3,Medium,2025-07-02
Analog Technology Product 033,200.8,2.4,0.7,0.5,False,LoadingDock5,Medium,2025-07-03
Analog Technology Product 034,100.6,8.7,5.5,5.8,False,Aisle3,Medium,2025-07-04
Analog Technology Product 035,506.4,5.2,2.1,1.0,True,AutomatedStorage4,High,2025-07-05
