Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Mixed Signal Technology Product 001,111.0,4.5,4.0,2.0,False,Rack10,Low,2025-07-01
Mixed Signal Technology Product 002,467.9,8.6,3.7,4.1,False,SectionA,High,2025-07-02
Mixed Signal Technology Product 003,238.8,8.2,5.8,4.4,False,LoadingDock3,Medium,2025-07-03
Mixed Signal Technology Product 004,619.2,6.1,1.5,3.7,False,Aisle10,Low,2025-07-04
Mixed Signal Technology Product 005,29.4,11.0,1.4,1.7,True,Rack5,Medium,2025-07-05
Mixed Signal Technology Product 006,222.8,6.4,3.8,1.2,True,LoadingDock4,Medium,2025-07-06
Mixed Signal Technology Product 007,298.3,2.6,0.6,5.1,True,ShelfArea1,Medium,2025-07-07
Mixed Signal Technology Product 008,519.1,3.5,8.2,2.2,False,Aisle3,High,2025-07-08
Mixed Signal Technology Product 009,721.2,11.9,3.0,4.4,False,ReceivingArea,High,2025-07-09
Mixed Signal Technology Product 010,19.7,0.6,4.6,1.3,False,Priority5,Low,2025-07-10
Mixed Signal Technology Product 011,543.8,13.3,2.0,2.6,True,Rack8,Medium,2025-07-11
Mixed Signal Technology Product 012,237.0,0.3,1.1,3.8,True,PalletArea5,High,2025-07-12
Mixed Signal Technology Product 013,138.4,6.9,3.1,4.8,False,SectionF,High,2025-07-13
Mixed Signal Technology Product 014,353.5,3.7,3.2,5.4,True,Seasonal,Medium,2025-07-14
Mixed Signal Technology Product 015,356.9,4.3,6.3,2.8,True,LoadingDock2,High,2025-07-15
Mixed Signal Technology Product 016,508.1,1.3,5.1,0.9,True,Aisle3,Low,2025-07-16
Mixed Signal Technology Product 017,305.5,11.1,2.9,2.2,True,Rack8,Medium,2025-07-17
Mixed Signal Technology Product 018,193.2,4.8,2.9,2.5,True,ZoneB,Low,2025-07-18
Mixed Signal Technology Product 019,521.2,2.5,4.6,3.4,True,ManualStorage5,Medium,2025-07-19
Mixed Signal Technology Product 020,547.1,2.8,3.3,3.1,False,LoadingDock5,Medium,2025-07-20
Mixed Signal Technology Product 021,361.9,6.3,3.1,4.5,False,PalletArea1,High,2025-07-21
Mixed Signal Technology Product 022,63.5,9.4,4.5,0.7,True,Basement3,Low,2025-07-22
Mixed Signal Technology Product 023,789.2,5.8,0.4,2.9,False,Aisle1,Low,2025-07-23
Mixed Signal Technology Product 024,585.8,8.9,4.1,5.2,False,LoadingDock5,Low,2025-07-24
Mixed Signal Technology Product 025,420.6,7.4,6.5,1.6,False,PalletArea3,Medium,2025-07-25
Mixed Signal Technology Product 026,412.2,2.1,0.7,1.2,False,ZoneF,Low,2025-07-26
Mixed Signal Technology Product 027,514.7,5.8,4.5,1.2,True,OverflowLane,Low,2025-07-27
Mixed Signal Technology Product 028,42.8,6.9,4.7,2.9,False,LoadingDock4,Medium,2025-07-28
Mixed Signal Technology Product 029,416.1,0.9,5.8,0.9,True,Floor5,Medium,2025-07-29
Mixed Signal Technology Product 030,28.0,2.6,3.7,2.4,True,ShelfArea4,High,2025-07-30
Mixed Signal Technology Product 031,211.4,10.6,1.0,4.8,True,AutomatedStorage1,Medium,2025-07-01
Mixed Signal Technology Product 032,525.7,8.2,1.7,4.1,True,ExpressLane,Low,2025-07-02
Mixed Signal Technology Product 033,199.8,1.8,4.0,3.2,False,ManualStorage2,High,2025-07-03
Mixed Signal Technology Product 034,461.5,4.8,0.8,1.5,False,PremiumLane,Medium,2025-07-04
Mixed Signal Technology Product 035,147.0,4.9,1.9,4.1,False,Aisle9,High,2025-07-05
Mixed Signal Technology Product 036,363.0,5.2,6.6,5.0,True,ZoneE,High,2025-07-06
Mixed Signal Technology Product 037,431.2,9.3,1.9,4.2,True,Rack8,Low,2025-07-07
Mixed Signal Technology Product 038,675.2,4.5,0.6,3.4,True,Seasonal,Low,2025-07-08
Mixed Signal Technology Product 039,127.8,0.4,1.0,1.3,False,Rack6,Medium,2025-07-09
Mixed Signal Technology Product 040,420.6,9.0,1.1,4.2,True,ManualStorage2,High,2025-07-10
Mixed Signal Technology Product 041,849.6,7.2,2.6,3.5,True,LoadingDock2,Low,2025-07-11
Mixed Signal Technology Product 042,12.7,2.3,1.9,2.4,True,ManualStorage2,High,2025-07-12
Mixed Signal Technology Product 043,370.1,7.8,3.0,1.6,False,Priority5,Medium,2025-07-13
Mixed Signal Technology Product 044,103.2,4.7,3.7,2.5,False,ZoneG,High,2025-07-14
Mixed Signal Technology Product 045,288.6,10.7,4.6,1.5,True,Aisle6,High,2025-07-15
Mixed Signal Technology Product 046,254.9,10.1,1.4,2.6,False,Basement3,High,2025-07-16
Mixed Signal Technology Product 047,96.7,3.4,4.0,3.9,True,Rack9,High,2025-07-17
Mixed Signal Technology Product 048,247.3,9.1,5.1,3.0,False,AutomatedStorage3,High,2025-07-18
Mixed Signal Technology Product 049,236.9,6.2,3.1,0.7,False,Aisle2,High,2025-07-19
Mixed Signal Technology Product 050,182.1,9.5,2.6,3.6,True,Mezzanine2,Medium,2025-07-20
Mixed Signal Technology Product 051,491.2,11.0,3.2,3.7,False,PalletArea3,Low,2025-07-21
Mixed Signal Technology Product 052,505.7,6.4,1.6,1.0,False,HighBay3,Medium,2025-07-22
Mixed Signal Technology Product 053,179.7,5.6,5.7,1.8,False,LoadingDock4,Medium,2025-07-23
Mixed Signal Technology Product 054,365.0,4.9,1.5,2.6,True,FragileItems,Medium,2025-07-24
Mixed Signal Technology Product 055,591.9,9.3,0.9,3.5,True,Priority5,Medium,2025-07-25
Mixed Signal Technology Product 056,556.5,6.0,5.6,0.8,False,ZoneC,Low,2025-07-26
Mixed Signal Technology Product 057,114.9,13.2,0.7,3.9,True,ZoneH,High,2025-07-27
Mixed Signal Technology Product 058,84.7,0.3,0.3,3.1,True,PalletArea2,High,2025-07-28
Mixed Signal Technology Product 059,153.3,4.1,4.1,4.3,False,ManualStorage5,High,2025-07-29
Mixed Signal Technology Product 060,447.6,12.0,0.4,1.3,True,Basement4,High,2025-07-30
Mixed Signal Technology Product 061,464.8,1.1,5.9,1.4,True,Aisle3,Medium,2025-07-01
Mixed Signal Technology Product 062,367.9,11.6,2.1,2.2,False,BulkItems,High,2025-07-02
Mixed Signal Technology Product 063,588.2,2.9,5.3,2.3,True,Floor2,Medium,2025-07-03
