Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
RF Technology Product 001,158.0,3.4,2.9,3.8,True,ReturnsArea,Low,2025-07-01
RF Technology Product 002,615.9,6.4,0.5,3.9,True,SectionC,Low,2025-07-02
RF Technology Product 003,474.0,8.0,5.9,5.8,True,LoadingDock1,Medium,2025-07-03
RF Technology Product 004,396.2,4.8,7.9,3.5,True,Aisle5,High,2025-07-04
RF Technology Product 005,520.6,2.2,6.1,1.2,False,Priority5,Medium,2025-07-05
RF Technology Product 006,288.7,10.6,3.4,4.6,True,Floor5,Medium,2025-07-06
RF Technology Product 007,55.0,2.6,3.7,2.9,True,Aisle6,High,2025-07-07
RF Technology Product 008,25.4,13.4,0.9,5.0,False,HighBay2,Medium,2025-07-08
RF Technology Product 009,142.3,9.0,0.8,4.8,True,Floor1,High,2025-07-09
RF Technology Product 010,429.5,3.2,6.5,1.0,True,Aisle7,Medium,2025-07-10
RF Technology Product 011,731.5,4.7,6.4,0.8,False,Seasonal,Medium,2025-07-11
RF Technology Product 012,681.5,7.4,4.3,2.9,True,SectionA,High,2025-07-12
RF Technology Product 013,105.6,3.3,5.2,0.7,True,Aisle5,High,2025-07-13
RF Technology Product 014,811.9,3.9,2.6,1.0,True,Basement1,Low,2025-07-14
RF Technology Product 015,71.3,12.9,2.9,3.4,False,LargeItems,Low,2025-07-15
RF Technology Product 016,251.8,10.3,2.7,0.7,False,Aisle2,Low,2025-07-16
RF Technology Product 017,3.1,6.6,3.1,3.4,False,Aisle9,High,2025-07-17
RF Technology Product 018,4.7,4.8,4.3,3.6,True,PalletArea1,Medium,2025-07-18
RF Technology Product 019,217.7,10.8,4.1,2.8,False,StandardLane,Low,2025-07-19
RF Technology Product 020,670.7,0.4,1.8,1.0,False,ShippingArea,Low,2025-07-20
RF Technology Product 021,417.0,3.5,5.1,2.7,False,SectionC,Low,2025-07-21
RF Technology Product 022,372.0,1.8,3.6,4.7,False,Basement5,Low,2025-07-22
RF Technology Product 023,11.6,16.0,0.4,1.5,False,ZoneI,Low,2025-07-23
RF Technology Product 024,290.4,7.2,7.5,2.3,True,Aisle1,Low,2025-07-24
RF Technology Product 025,599.7,9.2,7.6,0.3,False,Aisle3,High,2025-07-25
RF Technology Product 026,318.9,0.5,2.9,0.9,True,Floor3,Medium,2025-07-26
RF Technology Product 027,470.6,4.4,3.7,2.3,True,ManualStorage4,High,2025-07-27
RF Technology Product 028,66.9,1.9,3.2,1.4,True,BulkStorage,Low,2025-07-28
RF Technology Product 029,38.8,3.5,6.0,3.0,False,ZoneI,Low,2025-07-29
RF Technology Product 030,130.7,7.1,3.1,2.4,True,AutomatedStorage4,Medium,2025-07-30
RF Technology Product 031,542.7,4.4,5.8,0.6,True,SectionA,Medium,2025-07-01
RF Technology Product 032,367.0,12.4,4.2,0.4,True,PremiumLane,Low,2025-07-02
RF Technology Product 033,730.6,3.5,2.1,1.1,False,Rack3,High,2025-07-03
