Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Microwave Technology Product 001,27.2,7.0,0.8,3.5,True,Rack4,Medium,2025-07-01
Microwave Technology Product 002,95.7,10.0,1.0,2.1,True,SectionA,High,2025-07-02
Microwave Technology Product 003,883.5,1.5,7.7,2.0,False,HighBay5,Low,2025-07-03
Microwave Technology Product 004,501.7,6.2,1.9,3.5,True,SectionF,Medium,2025-07-04
Microwave Technology Product 005,817.7,10.1,0.5,1.1,True,Seasonal,High,2025-07-05
Microwave Technology Product 006,235.6,4.9,4.8,0.4,True,PalletArea3,High,2025-07-06
Microwave Technology Product 007,509.4,5.3,7.7,4.6,False,Aisle10,Medium,2025-07-07
Microwave Technology Product 008,419.7,2.4,1.5,1.8,False,ZoneI,High,2025-07-08
Microwave Technology Product 009,117.1,6.0,4.9,3.0,True,AutomatedStorage3,High,2025-07-09
Microwave Technology Product 010,81.2,8.9,7.3,2.2,False,Rack9,Medium,2025-07-10
Microwave Technology Product 011,13.0,7.1,0.9,0.9,True,HazardousStorage,High,2025-07-11
Microwave Technology Product 012,64.9,12.9,2.6,2.9,True,Floor4,High,2025-07-12
Microwave Technology Product 013,483.8,11.1,5.2,2.6,False,ZoneJ,High,2025-07-13
Microwave Technology Product 014,269.1,8.0,3.9,3.4,False,StandardLane,High,2025-07-14
Microwave Technology Product 015,218.8,6.6,5.3,0.7,True,Mezzanine5,Medium,2025-07-15
Microwave Technology Product 016,336.2,1.7,3.4,3.5,False,LoadingDock4,High,2025-07-16
Microwave Technology Product 017,439.5,6.0,1.5,0.3,True,ZoneH,Medium,2025-07-17
Microwave Technology Product 018,211.3,7.0,6.8,4.7,False,Mezzanine1,High,2025-07-18
Microwave Technology Product 019,712.0,14.8,4.1,2.6,True,ZoneH,High,2025-07-19
Microwave Technology Product 020,384.5,6.9,2.0,2.9,True,HeavyItems,Medium,2025-07-20
Microwave Technology Product 021,670.6,1.7,3.7,2.7,True,Floor2,Low,2025-07-21
Microwave Technology Product 022,356.8,7.2,2.9,1.3,False,PalletArea4,Medium,2025-07-22
Microwave Technology Product 023,108.0,11.1,3.2,2.3,True,Mezzanine3,Medium,2025-07-23
Microwave Technology Product 024,449.2,8.9,2.2,3.6,False,Aisle1,Low,2025-07-24
Microwave Technology Product 025,297.9,8.7,2.3,6.0,False,ZoneF,Medium,2025-07-25
Microwave Technology Product 026,186.1,3.6,1.7,0.4,True,Aisle1,Medium,2025-07-26
Microwave Technology Product 027,271.2,12.6,1.2,2.2,False,Aisle5,Low,2025-07-27
Microwave Technology Product 028,168.0,2.3,6.8,0.9,True,ShelfArea4,High,2025-07-28
Microwave Technology Product 029,221.6,8.4,5.7,3.1,True,ColdStorage,Medium,2025-07-29
Microwave Technology Product 030,250.1,1.2,2.4,2.0,False,ShelfArea5,Medium,2025-07-30
Microwave Technology Product 031,226.9,13.4,3.8,0.4,False,ManualStorage4,Medium,2025-07-01
Microwave Technology Product 032,559.1,1.7,4.6,3.7,True,AutomatedStorage3,High,2025-07-02
Microwave Technology Product 033,47.6,10.1,4.3,2.4,True,PalletArea1,Medium,2025-07-03
Microwave Technology Product 034,738.5,13.6,4.0,5.0,False,FragileItems,High,2025-07-04
Microwave Technology Product 035,800.2,12.5,0.4,5.2,True,SectionD,High,2025-07-05
Microwave Technology Product 036,311.3,7.5,1.6,1.3,False,ManualStorage3,High,2025-07-06
Microwave Technology Product 037,300.3,6.7,4.6,3.3,False,AutomatedStorage1,High,2025-07-07
Microwave Technology Product 038,233.9,11.4,0.6,1.8,True,HighBay1,Medium,2025-07-08
Microwave Technology Product 039,182.7,12.2,3.3,1.4,False,OverflowLane,Low,2025-07-09
Microwave Technology Product 040,270.1,3.4,3.0,1.7,True,PalletArea2,High,2025-07-10
Microwave Technology Product 041,459.3,13.3,0.9,4.4,True,ShelfArea3,Low,2025-07-11
Microwave Technology Product 042,368.6,11.5,5.0,1.4,False,SmallItems,High,2025-07-12
Microwave Technology Product 043,129.6,9.7,6.5,1.8,False,SectionC,Medium,2025-07-13
Microwave Technology Product 044,318.8,4.0,2.8,3.7,True,LargeItems,Medium,2025-07-14
Microwave Technology Product 045,78.9,13.9,2.3,3.1,True,BulkItems,Medium,2025-07-15
Microwave Technology Product 046,404.0,9.3,3.2,2.1,False,LoadingDock4,Medium,2025-07-16
Microwave Technology Product 047,459.5,9.3,5.2,2.2,False,AutomatedStorage5,Low,2025-07-17
Microwave Technology Product 048,354.1,4.2,1.3,1.0,True,SmallItems,Medium,2025-07-18
Microwave Technology Product 049,335.4,8.1,2.5,1.4,True,HighBay4,High,2025-07-19
