Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Optical Fiber Technology Product 001,189.1,12.3,2.5,1.0,False,Rack3,Medium,2025-07-01
Optical Fiber Technology Product 002,408.6,5.3,4.5,3.7,True,PalletArea5,Medium,2025-07-02
Optical Fiber Technology Product 003,280.2,7.0,2.3,3.9,False,LoadingDock1,Low,2025-07-03
Optical Fiber Technology Product 004,415.5,3.5,6.3,2.5,False,Priority3,High,2025-07-04
Optical Fiber Technology Product 005,90.9,3.4,5.3,2.8,True,DryStorage,Medium,2025-07-05
Optical Fiber Technology Product 006,518.4,14.2,3.2,1.5,False,Priority4,Medium,2025-07-06
Optical Fiber Technology Product 007,511.7,3.6,1.9,3.8,True,Basement3,High,2025-07-07
Optical Fiber Technology Product 008,474.1,6.8,0.7,1.4,False,LoadingDock5,Low,2025-07-08
Optical Fiber Technology Product 009,259.5,0.8,5.7,1.0,False,Seasonal,Low,2025-07-09
Optical Fiber Technology Product 010,670.1,1.5,4.7,2.1,True,Rack2,High,2025-07-10
Optical Fiber Technology Product 011,587.3,11.8,5.2,3.8,False,Priority3,Low,2025-07-11
Optical Fiber Technology Product 012,134.2,2.7,6.1,0.5,False,Priority4,Medium,2025-07-12
Optical Fiber Technology Product 013,223.2,6.3,1.5,2.0,False,AutomatedStorage4,High,2025-07-13
Optical Fiber Technology Product 014,87.5,12.5,2.7,2.5,True,SectionC,Low,2025-07-14
Optical Fiber Technology Product 015,814.5,0.8,1.6,3.7,False,Aisle6,Medium,2025-07-15
Optical Fiber Technology Product 016,165.7,7.8,0.8,5.3,True,Basement4,Low,2025-07-16
Optical Fiber Technology Product 017,495.4,1.0,4.3,3.2,True,ZoneB,High,2025-07-17
Optical Fiber Technology Product 018,406.6,5.1,3.8,1.5,False,Aisle6,Medium,2025-07-18
Optical Fiber Technology Product 019,29.4,7.2,2.6,4.1,True,Aisle5,Medium,2025-07-19
Optical Fiber Technology Product 020,413.4,6.9,3.6,3.8,True,ZoneC,Low,2025-07-20
Optical Fiber Technology Product 021,552.7,2.4,2.3,1.9,False,ShelfArea2,High,2025-07-21
Optical Fiber Technology Product 022,156.1,9.5,1.9,3.1,True,ExpressLane,Low,2025-07-22
Optical Fiber Technology Product 023,436.3,11.6,6.6,3.1,True,Floor4,Low,2025-07-23
Optical Fiber Technology Product 024,289.5,3.7,5.4,4.9,False,SlowMoving,Low,2025-07-24
Optical Fiber Technology Product 025,616.6,3.3,3.2,2.7,False,QualityControl,High,2025-07-25
Optical Fiber Technology Product 026,632.3,2.9,1.5,0.3,False,ShelfArea4,Low,2025-07-26
Optical Fiber Technology Product 027,430.7,13.3,3.0,1.7,True,Basement2,Low,2025-07-27
Optical Fiber Technology Product 028,233.1,8.8,6.5,1.7,False,QualityControl,High,2025-07-28
Optical Fiber Technology Product 029,555.0,1.4,4.4,0.6,True,HeavyItems,High,2025-07-29
Optical Fiber Technology Product 030,171.9,7.8,3.4,0.8,False,Mezzanine3,High,2025-07-30
