Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Wireless Technology Product 001,374.3,11.0,4.4,3.5,True,ColdStorage,Low,2025-07-01
Wireless Technology Product 002,155.4,3.1,6.0,1.5,True,Priority1,Medium,2025-07-02
Wireless Technology Product 003,350.2,5.9,6.6,1.7,False,Rack2,Low,2025-07-03
Wireless Technology Product 004,2.4,5.7,4.7,0.9,False,Basement4,Low,2025-07-04
Wireless Technology Product 005,838.5,1.5,2.3,4.7,True,Basement4,High,2025-07-05
Wireless Technology Product 006,96.1,3.3,5.5,2.3,True,LoadingDock2,Low,2025-07-06
Wireless Technology Product 007,819.8,4.7,3.0,1.2,False,Aisle9,High,2025-07-07
Wireless Technology Product 008,291.0,6.2,2.1,1.6,False,ManualStorage3,High,2025-07-08
Wireless Technology Product 009,573.2,2.0,2.5,2.2,False,StandardLane,High,2025-07-09
Wireless Technology Product 010,356.1,1.2,3.3,1.6,True,Mezzanine1,Medium,2025-07-10
Wireless Technology Product 011,635.8,4.8,5.1,1.1,True,Rack2,Low,2025-07-11
Wireless Technology Product 012,24.0,6.5,5.6,4.9,True,Floor2,Low,2025-07-12
Wireless Technology Product 013,580.5,8.6,4.2,4.5,False,Aisle7,High,2025-07-13
Wireless Technology Product 014,162.0,6.5,6.4,1.3,False,Rack3,Medium,2025-07-14
Wireless Technology Product 015,133.7,8.3,3.3,0.2,False,SmallItems,Medium,2025-07-15
Wireless Technology Product 016,106.6,9.1,3.5,2.6,True,Floor3,Low,2025-07-16
Wireless Technology Product 017,242.7,1.4,2.1,1.5,True,AutomatedStorage2,High,2025-07-17
Wireless Technology Product 018,437.4,8.7,0.9,2.2,True,LoadingDock5,Medium,2025-07-18
Wireless Technology Product 019,237.8,14.0,0.7,0.2,False,SectionB,High,2025-07-19
Wireless Technology Product 020,346.7,2.8,0.8,3.5,False,ShelfArea3,Low,2025-07-20
Wireless Technology Product 021,706.6,10.7,5.1,0.5,True,SectionD,High,2025-07-21
