Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Mobile Technology Product 001,1.8,4.4,4.8,0.7,True,Basement1,Medium,2025-07-01
Mobile Technology Product 002,352.2,0.8,1.4,3.4,True,HighBay4,High,2025-07-02
Mobile Technology Product 003,474.1,5.8,2.1,1.6,False,PalletArea4,High,2025-07-03
Mobile Technology Product 004,644.9,7.7,5.0,3.7,True,Mezzanine3,High,2025-07-04
Mobile Technology Product 005,241.7,12.0,0.7,3.3,True,HighBay5,Medium,2025-07-05
Mobile Technology Product 006,50.5,1.9,5.5,1.4,True,Rack8,Low,2025-07-06
Mobile Technology Product 007,179.4,4.5,5.4,4.2,True,LoadingDock2,Low,2025-07-07
Mobile Technology Product 008,251.7,9.9,5.0,0.3,True,BulkItems,Low,2025-07-08
Mobile Technology Product 009,227.5,13.4,5.3,2.5,True,Mezzanine1,High,2025-07-09
Mobile Technology Product 010,23.3,9.2,6.1,1.0,False,Rack10,Medium,2025-07-10
Mobile Technology Product 011,604.9,6.7,0.6,1.6,True,Seasonal,Low,2025-07-11
Mobile Technology Product 012,58.9,8.8,1.4,4.6,False,SectionF,Low,2025-07-12
Mobile Technology Product 013,204.5,8.6,7.0,0.2,True,ZoneH,Low,2025-07-13
Mobile Technology Product 014,273.6,12.3,4.1,3.5,True,MediumItems,Low,2025-07-14
Mobile Technology Product 015,374.6,5.5,3.9,3.0,False,ShelfArea1,Medium,2025-07-15
Mobile Technology Product 016,307.0,7.4,2.7,3.8,False,Priority5,High,2025-07-16
Mobile Technology Product 017,182.9,12.4,3.3,3.9,True,OverflowStorage,Medium,2025-07-17
Mobile Technology Product 018,447.1,3.4,3.4,2.0,True,Basement5,High,2025-07-18
Mobile Technology Product 019,501.2,5.5,5.7,3.6,False,AutomatedStorage4,Medium,2025-07-19
Mobile Technology Product 020,218.3,6.2,7.1,0.8,True,ZoneB,Low,2025-07-20
Mobile Technology Product 021,256.8,8.4,4.3,0.7,False,Rack7,High,2025-07-21
Mobile Technology Product 022,240.4,6.5,6.4,3.5,True,ZoneE,High,2025-07-22
Mobile Technology Product 023,706.5,11.0,2.1,2.4,True,Priority4,High,2025-07-23
