Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Computer Technology Product 001,603.4,14.0,6.7,1.9,True,Rack9,Medium,2025-07-01
Computer Technology Product 002,187.3,3.4,1.7,3.1,False,LoadingDock1,Medium,2025-07-02
Computer Technology Product 003,355.4,2.0,1.8,2.0,True,HighBay2,High,2025-07-03
Computer Technology Product 004,385.2,13.8,6.6,4.0,True,PremiumLane,High,2025-07-04
Computer Technology Product 005,351.8,5.2,4.6,2.6,True,PremiumLane,Low,2025-07-05
Computer Technology Product 006,309.4,9.8,1.1,2.4,True,ZoneB,High,2025-07-06
Computer Technology Product 007,29.4,7.8,4.2,5.8,False,Mezzanine5,Medium,2025-07-07
Computer Technology Product 008,594.7,5.6,3.1,2.4,False,ZoneC,High,2025-07-08
Computer Technology Product 009,311.1,9.7,5.6,1.9,False,DryStorage,Medium,2025-07-09
Computer Technology Product 010,117.8,4.0,5.5,0.5,False,LoadingDock1,Low,2025-07-10
Computer Technology Product 011,110.0,9.1,2.1,4.9,False,ZoneB,Medium,2025-07-11
Computer Technology Product 012,65.6,9.6,0.3,3.9,False,OverflowStorage,High,2025-07-12
Computer Technology Product 013,25.8,4.2,4.2,3.7,True,ZoneC,Medium,2025-07-13
Computer Technology Product 014,102.5,6.9,0.4,3.1,False,LoadingDock4,Low,2025-07-14
Computer Technology Product 015,391.4,2.8,1.7,2.2,True,Mezzanine4,High,2025-07-15
Computer Technology Product 016,268.4,5.7,4.6,4.4,False,HighBay2,High,2025-07-16
Computer Technology Product 017,236.7,0.5,4.0,2.7,False,Aisle9,Medium,2025-07-17
Computer Technology Product 018,282.1,5.4,1.8,1.3,False,SmallItems,High,2025-07-18
Computer Technology Product 019,452.8,7.1,5.0,1.5,False,ManualStorage5,High,2025-07-19
Computer Technology Product 020,226.1,1.8,3.7,1.9,True,Rack2,Medium,2025-07-20
Computer Technology Product 021,447.7,8.5,0.6,3.8,False,HighBay4,Low,2025-07-21
Computer Technology Product 022,295.0,0.5,2.0,0.8,False,ZoneH,Medium,2025-07-22
Computer Technology Product 023,397.3,10.2,2.0,2.6,True,Rack2,Medium,2025-07-23
Computer Technology Product 024,457.1,4.5,3.3,1.7,True,ShippingArea,High,2025-07-24
Computer Technology Product 025,299.7,3.2,4.5,1.8,False,BulkItems,Medium,2025-07-25
Computer Technology Product 026,262.2,7.6,5.4,4.3,False,HighBay5,Low,2025-07-26
Computer Technology Product 027,501.6,3.5,3.8,1.1,True,LoadingDock4,Medium,2025-07-27
Computer Technology Product 028,370.2,10.1,3.7,3.8,True,Aisle6,Medium,2025-07-28
Computer Technology Product 029,383.7,8.0,6.8,1.7,True,Priority4,Low,2025-07-29
Computer Technology Product 030,43.0,9.7,1.1,4.1,True,ReturnsArea,High,2025-07-30
Computer Technology Product 031,111.1,8.7,2.8,1.9,True,ShelfArea4,High,2025-07-01
Computer Technology Product 032,115.9,11.6,3.8,1.5,False,ShelfArea2,Low,2025-07-02
Computer Technology Product 033,206.1,4.0,1.6,4.5,True,SmallItemStorage,Low,2025-07-03
Computer Technology Product 034,408.0,4.7,1.3,0.2,True,ZoneD,High,2025-07-04
Computer Technology Product 035,393.5,5.8,1.1,2.8,True,Aisle10,Medium,2025-07-05
Computer Technology Product 036,529.2,9.2,5.3,3.2,True,ManualStorage5,Low,2025-07-06
Computer Technology Product 037,608.6,10.6,0.4,4.6,False,Seasonal,Low,2025-07-07
Computer Technology Product 038,620.9,0.9,1.5,1.2,True,Aisle6,High,2025-07-08
Computer Technology Product 039,233.7,6.3,0.4,2.6,True,ZoneE,Medium,2025-07-09
Computer Technology Product 040,607.6,3.9,1.8,1.9,True,SectionC,Low,2025-07-10
Computer Technology Product 041,553.1,3.4,2.9,6.4,False,ShelfArea3,Low,2025-07-11
Computer Technology Product 042,611.0,7.9,0.7,4.4,False,ShelfArea1,Medium,2025-07-12
Computer Technology Product 043,497.0,7.3,3.0,4.9,False,Floor1,Low,2025-07-13
Computer Technology Product 044,94.3,2.7,2.1,3.4,False,PremiumLane,High,2025-07-14
Computer Technology Product 045,458.5,8.2,5.3,0.4,True,HeavyItems,High,2025-07-15
Computer Technology Product 046,291.7,8.0,3.1,2.9,False,ZoneB,Low,2025-07-16
Computer Technology Product 047,36.4,2.8,1.8,1.2,True,HighBay4,Low,2025-07-17
Computer Technology Product 048,243.6,3.2,6.3,3.0,False,Priority3,Medium,2025-07-18
Computer Technology Product 049,91.1,3.5,4.7,4.3,False,HeavyItems,Low,2025-07-19
Computer Technology Product 050,31.2,14.1,5.4,2.7,False,SectionH,Low,2025-07-20
Computer Technology Product 051,65.8,4.4,1.6,2.5,False,ShelfArea2,Low,2025-07-21
Computer Technology Product 052,187.0,13.3,3.4,3.0,True,SectionF,Low,2025-07-22
Computer Technology Product 053,28.0,5.8,1.6,3.8,False,ShippingArea,High,2025-07-23
Computer Technology Product 054,550.4,7.0,6.2,2.7,True,BulkStorage,Low,2025-07-24
Computer Technology Product 055,251.7,5.1,5.9,1.9,True,ExpressLane,High,2025-07-25
Computer Technology Product 056,526.9,7.9,2.6,1.5,False,Aisle9,Medium,2025-07-26
Computer Technology Product 057,154.1,12.6,2.1,4.8,False,ShelfArea4,High,2025-07-27
Computer Technology Product 058,707.3,4.3,1.8,1.0,True,OverflowStorage,Low,2025-07-28
Computer Technology Product 059,289.7,2.5,2.9,0.6,True,Aisle1,Medium,2025-07-29
Computer Technology Product 060,335.6,3.7,0.7,1.4,True,OverflowStorage,Medium,2025-07-30
Computer Technology Product 061,148.4,1.3,1.0,3.1,False,HighBay4,High,2025-07-01
Computer Technology Product 062,85.8,11.6,4.1,1.1,False,LightItems,High,2025-07-02
Computer Technology Product 063,440.5,3.9,1.1,1.4,True,Rack6,High,2025-07-03
Computer Technology Product 064,279.5,5.1,1.5,1.7,True,HeavyItems,Medium,2025-07-04
Computer Technology Product 065,439.9,10.7,1.2,0.8,False,Mezzanine5,Low,2025-07-05
Computer Technology Product 066,74.5,3.7,6.8,3.5,False,Priority5,High,2025-07-06
Computer Technology Product 067,432.5,6.3,3.1,1.9,True,SectionC,Low,2025-07-07
Computer Technology Product 068,550.2,14.9,3.8,0.9,True,ShelfArea4,Medium,2025-07-08
Computer Technology Product 069,254.9,8.2,3.5,1.8,False,ShippingArea,Medium,2025-07-09
Computer Technology Product 070,104.9,9.7,3.4,2.3,True,SectionE,Medium,2025-07-10
Computer Technology Product 071,520.4,2.5,2.4,4.0,False,HighBay5,Low,2025-07-11
Computer Technology Product 072,713.9,8.1,7.9,0.4,False,Priority5,Medium,2025-07-12
Computer Technology Product 073,36.1,7.3,2.6,0.5,False,HighBay4,Medium,2025-07-13
Computer Technology Product 074,625.2,2.0,0.9,3.5,False,Aisle10,Low,2025-07-14
Computer Technology Product 075,463.8,4.4,7.4,0.8,False,ZoneD,High,2025-07-15
Computer Technology Product 076,801.3,5.2,3.4,1.0,False,Aisle8,Medium,2025-07-16
Computer Technology Product 077,357.4,9.4,1.3,0.4,False,SectionG,Medium,2025-07-17
Computer Technology Product 078,761.5,2.9,4.3,0.3,True,Basement4,Medium,2025-07-18
Computer Technology Product 079,265.4,11.0,0.8,2.0,False,SmallItems,High,2025-07-19
Computer Technology Product 080,294.2,2.1,2.5,2.8,True,LoadingDock4,Low,2025-07-20
Computer Technology Product 081,325.0,11.3,5.4,2.0,False,LoadingDock2,Medium,2025-07-21
Computer Technology Product 082,118.5,11.9,5.1,0.8,True,DryStorage,Medium,2025-07-22
Computer Technology Product 083,112.1,13.7,0.9,0.4,True,Aisle9,Medium,2025-07-23
Computer Technology Product 084,18.4,10.2,2.9,3.4,False,SectionE,High,2025-07-24
Computer Technology Product 085,465.1,8.6,5.9,2.3,False,Floor4,High,2025-07-25
Computer Technology Product 086,356.3,1.5,3.0,2.2,False,ManualStorage5,High,2025-07-26
Computer Technology Product 087,354.1,9.7,0.6,5.4,True,AutomatedStorage1,Medium,2025-07-27
Computer Technology Product 088,162.9,10.8,2.1,2.2,True,Priority1,Medium,2025-07-28
Computer Technology Product 089,496.2,3.7,3.1,4.2,True,Aisle7,High,2025-07-29
Computer Technology Product 090,382.1,8.9,6.6,4.3,False,Aisle4,Medium,2025-07-30
Computer Technology Product 091,502.2,4.1,2.7,4.3,False,Aisle4,Medium,2025-07-01
Computer Technology Product 092,489.2,2.0,3.9,0.3,True,ZoneH,High,2025-07-02
Computer Technology Product 093,202.4,1.0,2.2,3.6,True,ShelfArea4,Low,2025-07-03
