Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Software Technology Product 001,54.6,9.6,2.1,1.0,False,Priority1,High,2025-07-01
Software Technology Product 002,329.1,2.4,0.5,4.2,True,ShelfArea1,High,2025-07-02
Software Technology Product 003,164.5,6.0,3.5,0.5,True,HighBay4,Low,2025-07-03
Software Technology Product 004,724.3,0.9,2.6,4.3,True,Aisle3,Medium,2025-07-04
Software Technology Product 005,353.6,6.6,2.7,0.5,True,SmallItems,Medium,2025-07-05
Software Technology Product 006,32.0,5.3,1.2,1.3,False,Rack3,High,2025-07-06
Software Technology Product 007,550.1,2.6,8.3,2.7,True,AutomatedStorage3,Medium,2025-07-07
Software Technology Product 008,47.9,4.7,4.4,1.0,False,HazardousStorage,High,2025-07-08
Software Technology Product 009,157.9,4.4,5.3,1.8,False,Priority1,High,2025-07-09
Software Technology Product 010,94.4,4.0,3.5,2.1,True,ManualStorage1,High,2025-07-10
Software Technology Product 011,514.1,4.8,6.7,2.3,True,ZoneF,Medium,2025-07-11
Software Technology Product 012,240.0,15.4,3.2,3.5,False,ManualStorage2,Low,2025-07-12
Software Technology Product 013,266.1,4.3,3.7,2.4,False,ManualStorage4,High,2025-07-13
Software Technology Product 014,478.8,6.4,3.1,4.6,True,SectionH,Low,2025-07-14
Software Technology Product 015,91.4,11.0,1.6,2.9,True,SectionD,Medium,2025-07-15
Software Technology Product 016,37.0,3.0,0.6,3.6,True,SectionH,Medium,2025-07-16
Software Technology Product 017,588.5,2.8,3.4,4.3,True,FastMoving,High,2025-07-17
Software Technology Product 018,134.8,0.7,4.7,3.9,True,SectionA,Medium,2025-07-18
Software Technology Product 019,636.3,3.6,0.4,2.0,True,Rack4,Low,2025-07-19
Software Technology Product 020,12.2,12.0,4.2,2.5,False,ShippingArea,Medium,2025-07-20
Software Technology Product 021,385.8,9.6,2.6,2.6,False,HeavyItems,High,2025-07-21
Software Technology Product 022,411.4,3.2,5.2,2.3,False,ExpressLane,Low,2025-07-22
Software Technology Product 023,669.1,7.5,6.8,3.7,True,ShelfArea2,High,2025-07-23
Software Technology Product 024,485.6,8.1,3.5,3.2,False,Mezzanine1,High,2025-07-24
Software Technology Product 025,306.0,13.0,2.0,1.7,True,LoadingDock3,Low,2025-07-25
Software Technology Product 026,453.5,6.3,4.3,1.4,False,HighBay3,Low,2025-07-26
Software Technology Product 027,650.5,4.1,6.0,1.2,False,LightItems,Medium,2025-07-27
Software Technology Product 028,437.4,6.8,7.0,5.4,False,MediumItems,High,2025-07-28
Software Technology Product 029,585.8,9.3,4.2,2.5,False,QualityControl,Low,2025-07-29
Software Technology Product 030,214.1,4.3,4.2,1.1,False,HeavyItems,High,2025-07-30
Software Technology Product 031,330.1,2.4,6.0,5.5,True,ZoneD,High,2025-07-01
Software Technology Product 032,219.9,2.8,1.3,3.5,True,ManualStorage3,High,2025-07-02
Software Technology Product 033,182.8,11.4,3.9,1.3,False,SectionH,Medium,2025-07-03
Software Technology Product 034,767.4,2.5,7.2,3.8,False,Floor3,Medium,2025-07-04
Software Technology Product 035,25.4,0.4,3.9,4.9,True,SectionF,Medium,2025-07-05
Software Technology Product 036,122.8,4.2,5.1,0.6,True,ZoneH,Medium,2025-07-06
Software Technology Product 037,119.9,11.5,3.9,1.6,False,Priority2,Low,2025-07-07
