Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Hardware Technology Product 001,268.0,12.1,6.9,5.5,True,Seasonal,Medium,2025-07-01
Hardware Technology Product 002,12.9,4.7,3.7,4.9,True,PalletArea3,Low,2025-07-02
Hardware Technology Product 003,83.5,15.5,1.1,1.2,False,Mezzanine3,Medium,2025-07-03
Hardware Technology Product 004,394.4,1.0,6.1,3.0,True,Mezzanine3,Medium,2025-07-04
Hardware Technology Product 005,231.3,7.1,4.5,2.8,True,Priority1,High,2025-07-05
Hardware Technology Product 006,584.8,4.4,3.1,4.5,False,OverflowLane,Low,2025-07-06
Hardware Technology Product 007,466.8,3.9,3.0,3.2,True,Aisle1,Low,2025-07-07
Hardware Technology Product 008,522.2,3.3,4.8,0.6,True,ZoneD,Medium,2025-07-08
Hardware Technology Product 009,27.4,10.3,5.1,0.7,True,Mezzanine1,High,2025-07-09
Hardware Technology Product 010,61.3,3.6,3.1,1.1,True,Basement5,High,2025-07-10
Hardware Technology Product 011,450.2,2.0,6.4,2.9,True,Mezzanine4,High,2025-07-11
Hardware Technology Product 012,263.7,0.6,4.6,3.8,True,ZoneE,Low,2025-07-12
Hardware Technology Product 013,160.1,11.7,4.3,4.2,False,AutomatedStorage4,High,2025-07-13
Hardware Technology Product 014,277.6,0.9,1.0,1.6,False,HighBay2,Low,2025-07-14
Hardware Technology Product 015,232.4,5.4,1.2,2.4,True,PalletArea3,High,2025-07-15
Hardware Technology Product 016,169.2,7.0,3.3,1.9,False,Seasonal,High,2025-07-16
Hardware Technology Product 017,360.7,5.3,3.3,0.9,False,SectionA,Low,2025-07-17
Hardware Technology Product 018,255.5,13.2,4.1,1.8,True,Basement2,High,2025-07-18
Hardware Technology Product 019,175.4,6.2,3.1,4.4,False,Rack2,High,2025-07-19
Hardware Technology Product 020,281.5,6.4,4.7,3.3,True,SectionD,Low,2025-07-20
Hardware Technology Product 021,138.6,1.9,0.9,1.4,True,AutomatedStorage4,Medium,2025-07-21
Hardware Technology Product 022,144.5,4.4,5.3,3.0,False,ReturnsArea,Medium,2025-07-22
Hardware Technology Product 023,394.3,5.4,2.4,3.3,False,Rack7,Medium,2025-07-23
Hardware Technology Product 024,45.5,5.4,3.2,5.6,False,Aisle9,Medium,2025-07-24
Hardware Technology Product 025,641.0,13.9,1.7,1.9,True,ReceivingArea,Low,2025-07-25
Hardware Technology Product 026,409.1,0.4,3.8,2.0,True,Mezzanine5,Medium,2025-07-26
Hardware Technology Product 027,29.5,0.3,3.2,0.3,True,Floor3,High,2025-07-27
Hardware Technology Product 028,396.6,14.6,3.9,3.0,True,Priority5,High,2025-07-28
Hardware Technology Product 029,0.8,1.0,4.8,2.3,True,Priority3,Medium,2025-07-29
Hardware Technology Product 030,537.8,13.5,4.5,2.7,False,MediumItems,Low,2025-07-30
Hardware Technology Product 031,122.6,8.9,0.9,0.8,False,Basement4,High,2025-07-01
Hardware Technology Product 032,248.2,13.4,0.4,0.2,True,AutomatedStorage1,Low,2025-07-02
Hardware Technology Product 033,267.2,11.9,0.5,0.9,True,FragileItems,Medium,2025-07-03
Hardware Technology Product 034,538.2,6.5,2.4,2.4,False,Aisle3,Low,2025-07-04
Hardware Technology Product 035,37.1,14.1,5.7,2.1,True,ColdStorage,Low,2025-07-05
Hardware Technology Product 036,204.0,5.5,6.7,3.4,True,Floor1,High,2025-07-06
Hardware Technology Product 037,436.4,11.4,2.9,0.3,True,SectionD,High,2025-07-07
Hardware Technology Product 038,501.7,2.0,2.8,4.3,False,AutomatedStorage5,Low,2025-07-08
Hardware Technology Product 039,316.0,7.0,1.6,2.1,True,HighBay3,Low,2025-07-09
Hardware Technology Product 040,135.8,10.1,4.6,5.0,False,SectionD,High,2025-07-10
Hardware Technology Product 041,469.9,8.1,1.5,0.6,True,ReceivingArea,High,2025-07-11
Hardware Technology Product 042,20.2,4.4,0.6,2.5,False,Rack2,Medium,2025-07-12
Hardware Technology Product 043,86.2,1.0,6.9,4.7,False,FragileItems,Low,2025-07-13
Hardware Technology Product 044,209.2,5.4,3.4,3.4,True,Basement2,Low,2025-07-14
Hardware Technology Product 045,159.2,9.9,5.9,2.0,True,ManualStorage2,Low,2025-07-15
Hardware Technology Product 046,313.0,6.5,3.4,5.3,False,LoadingDock5,High,2025-07-16
