Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Network Technology Product 001,5.2,4.1,4.1,1.4,True,QualityControl,Medium,2025-07-01
Network Technology Product 002,6.9,12.8,4.4,2.3,True,HeavyItems,Medium,2025-07-02
Network Technology Product 003,396.6,4.5,0.9,3.6,False,Rack1,Low,2025-07-03
Network Technology Product 004,417.1,8.4,1.2,1.9,False,ShelfArea4,Medium,2025-07-04
Network Technology Product 005,64.1,7.5,2.9,3.5,False,ZoneE,High,2025-07-05
Network Technology Product 006,568.2,6.1,2.8,2.1,True,Floor2,Medium,2025-07-06
Network Technology Product 007,90.2,6.3,2.3,0.3,False,ManualStorage5,Medium,2025-07-07
Network Technology Product 008,34.5,2.8,0.5,0.8,False,LoadingDock2,High,2025-07-08
Network Technology Product 009,4.8,5.5,1.6,4.3,False,Priority3,High,2025-07-09
Network Technology Product 010,342.8,12.4,1.4,2.7,True,SectionB,High,2025-07-10
Network Technology Product 011,741.3,3.8,7.6,2.6,False,OverflowStorage,Low,2025-07-11
Network Technology Product 012,93.2,12.0,6.1,3.0,True,Rack4,Medium,2025-07-12
Network Technology Product 013,422.5,11.8,7.2,4.9,False,SectionG,High,2025-07-13
Network Technology Product 014,184.0,8.3,4.7,4.9,True,ManualStorage5,High,2025-07-14
Network Technology Product 015,177.5,1.4,5.1,5.4,False,Rack3,Low,2025-07-15
Network Technology Product 016,97.5,7.2,0.7,2.8,False,Rack2,Low,2025-07-16
Network Technology Product 017,151.8,7.6,4.1,0.3,True,Rack4,Low,2025-07-17
Network Technology Product 018,107.0,10.6,0.4,4.9,True,Aisle2,High,2025-07-18
Network Technology Product 019,163.1,6.1,3.5,3.0,False,SectionB,High,2025-07-19
Network Technology Product 020,357.5,12.1,4.0,1.8,True,PalletArea2,Low,2025-07-20
Network Technology Product 021,137.8,1.4,3.8,4.2,False,ManualStorage4,Low,2025-07-21
Network Technology Product 022,73.3,12.9,4.8,3.8,True,LoadingDock3,Medium,2025-07-22
Network Technology Product 023,398.8,6.1,5.9,2.2,False,PalletArea5,Low,2025-07-23
Network Technology Product 024,182.7,2.3,0.6,4.6,False,Mezzanine2,Medium,2025-07-24
Network Technology Product 025,63.6,11.1,1.2,2.1,True,SmallItemStorage,Medium,2025-07-25
Network Technology Product 026,463.2,1.2,5.6,4.4,False,Rack9,High,2025-07-26
Network Technology Product 027,335.1,6.2,2.9,2.9,True,HighBay5,Medium,2025-07-27
Network Technology Product 028,293.2,9.2,3.5,2.3,False,Mezzanine3,Medium,2025-07-28
Network Technology Product 029,241.9,2.9,5.4,3.3,True,Rack10,Low,2025-07-29
Network Technology Product 030,298.6,9.2,4.0,3.6,False,Aisle6,High,2025-07-30
Network Technology Product 031,173.6,7.0,3.8,0.8,False,Basement4,Medium,2025-07-01
Network Technology Product 032,234.9,15.1,0.5,1.3,False,Aisle6,Medium,2025-07-02
Network Technology Product 033,8.2,1.5,5.4,2.4,True,ShippingArea,High,2025-07-03
Network Technology Product 034,40.9,4.8,4.8,1.0,True,SectionA,Low,2025-07-04
Network Technology Product 035,587.1,5.8,4.0,3.4,True,AutomatedStorage2,Medium,2025-07-05
Network Technology Product 036,220.8,1.8,4.9,3.1,True,Priority1,Low,2025-07-06
Network Technology Product 037,314.6,4.8,3.0,1.4,False,Basement4,Low,2025-07-07
Network Technology Product 038,228.6,0.5,0.4,2.8,True,FastMoving,Medium,2025-07-08
Network Technology Product 039,10.6,15.6,1.3,4.5,True,SectionC,Low,2025-07-09
Network Technology Product 040,263.5,12.7,5.5,1.1,True,SectionE,High,2025-07-10
Network Technology Product 041,403.6,5.1,4.7,1.4,False,Rack4,High,2025-07-11
Network Technology Product 042,443.4,4.2,1.6,2.3,True,Mezzanine3,Low,2025-07-12
Network Technology Product 043,356.1,1.1,3.7,5.2,False,Mezzanine3,Medium,2025-07-13
Network Technology Product 044,37.6,6.2,6.7,2.3,False,AutomatedStorage1,Medium,2025-07-14
Network Technology Product 045,325.4,2.8,3.1,0.5,True,Rack10,High,2025-07-15
Network Technology Product 046,280.0,4.2,5.4,2.5,True,Priority5,Low,2025-07-16
Network Technology Product 047,710.0,11.0,6.2,0.6,True,ZoneC,Medium,2025-07-17
Network Technology Product 048,327.8,4.0,7.2,3.2,True,HighBay1,Medium,2025-07-18
Network Technology Product 049,48.1,1.7,4.7,2.3,False,ColdStorage,Medium,2025-07-19
Network Technology Product 050,454.6,9.5,3.1,3.4,False,HighBay5,Medium,2025-07-20
Network Technology Product 051,453.5,6.6,1.4,3.1,True,Aisle7,Low,2025-07-21
Network Technology Product 052,9.5,9.2,6.4,4.9,False,ManualStorage2,Medium,2025-07-22
Network Technology Product 053,432.4,3.3,3.9,3.7,False,Floor1,Low,2025-07-23
Network Technology Product 054,320.3,2.8,4.4,2.1,False,ReturnsArea,Medium,2025-07-24
Network Technology Product 055,200.4,2.8,1.0,1.5,False,HighBay4,High,2025-07-25
Network Technology Product 056,178.3,8.5,6.1,3.1,False,ShelfArea5,High,2025-07-26
Network Technology Product 057,376.0,12.6,0.7,2.4,True,ShelfArea4,Low,2025-07-27
Network Technology Product 058,116.6,6.3,4.3,2.8,True,Aisle6,Medium,2025-07-28
Network Technology Product 059,312.4,12.1,3.2,0.3,False,FastMoving,High,2025-07-29
Network Technology Product 060,392.0,1.5,1.1,2.6,True,SlowMoving,High,2025-07-30
Network Technology Product 061,709.9,1.4,2.5,2.1,False,LargeItems,High,2025-07-01
Network Technology Product 062,11.5,4.3,1.2,0.6,True,ShippingArea,Medium,2025-07-02
Network Technology Product 063,327.0,1.5,4.0,3.6,False,Floor4,Low,2025-07-03
Network Technology Product 064,212.9,8.4,2.0,1.1,True,Rack9,High,2025-07-04
Network Technology Product 065,114.3,1.9,1.6,3.7,False,SectionF,Low,2025-07-05
Network Technology Product 066,202.7,1.4,4.4,0.9,False,LargeItems,Low,2025-07-06
Network Technology Product 067,24.3,11.3,5.4,3.0,False,Rack2,Low,2025-07-07
Network Technology Product 068,379.7,12.2,3.8,2.6,False,Floor5,Medium,2025-07-08
Network Technology Product 069,308.2,10.2,1.7,0.7,False,PalletArea5,High,2025-07-09
Network Technology Product 070,76.1,3.2,4.9,2.8,False,Floor5,Low,2025-07-10
Network Technology Product 071,582.1,4.6,2.5,2.7,False,ShelfArea3,Low,2025-07-11
Network Technology Product 072,574.9,5.7,5.8,1.4,True,SectionG,High,2025-07-12
Network Technology Product 073,448.6,11.2,4.9,0.4,True,Basement5,Medium,2025-07-13
Network Technology Product 074,224.0,8.4,0.9,1.5,False,ShelfArea5,High,2025-07-14
Network Technology Product 075,43.7,10.9,6.7,0.8,False,Floor1,Medium,2025-07-15
Network Technology Product 076,382.3,1.8,1.6,4.7,True,PalletArea1,Medium,2025-07-16
Network Technology Product 077,108.6,7.8,5.5,4.1,True,AutomatedStorage1,Low,2025-07-17
Network Technology Product 078,543.4,12.4,5.2,1.5,False,HighBay1,High,2025-07-18
Network Technology Product 079,108.5,11.0,0.8,3.9,False,ShippingArea,High,2025-07-19
Network Technology Product 080,171.1,4.1,5.3,3.5,True,HighBay4,High,2025-07-20
Network Technology Product 081,133.7,10.0,6.6,4.9,True,ManualStorage4,Medium,2025-07-21
Network Technology Product 082,755.3,10.3,3.8,3.3,False,ZoneF,Medium,2025-07-22
Network Technology Product 083,77.5,14.0,4.8,1.8,True,Priority3,High,2025-07-23
Network Technology Product 084,557.0,7.7,1.2,3.0,False,ZoneD,Medium,2025-07-24
Network Technology Product 085,563.2,11.9,0.9,1.9,False,LargeItems,High,2025-07-25
Network Technology Product 086,95.9,4.8,0.4,0.5,False,Aisle9,Medium,2025-07-26
