Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Security Technology Product 001,800.2,15.0,5.6,3.1,True,PalletArea5,High,2025-08-01
Security Technology Product 002,456.3,4.1,0.9,2.8,False,Floor4,High,2025-08-02
Security Technology Product 003,622.3,3.1,4.1,1.4,True,AutomatedStorage1,Medium,2025-08-03
Security Technology Product 004,343.2,2.0,4.6,1.8,False,SectionD,High,2025-08-04
Security Technology Product 005,7.0,9.8,3.7,1.0,True,SmallItems,Low,2025-08-05
Security Technology Product 006,394.3,1.6,5.3,4.2,True,SmallItems,Low,2025-08-06
Security Technology Product 007,140.8,8.7,7.0,0.8,False,ZoneI,High,2025-08-07
Security Technology Product 008,346.9,6.4,1.6,1.6,True,ShelfArea2,Medium,2025-08-08
Security Technology Product 009,252.7,1.0,7.9,1.8,True,Rack8,Low,2025-08-09
Security Technology Product 010,131.9,6.8,0.8,1.8,False,Aisle2,High,2025-08-10
Security Technology Product 011,711.3,13.0,2.0,1.3,True,LoadingDock3,Medium,2025-08-11
Security Technology Product 012,102.7,2.5,1.8,2.9,False,Floor1,High,2025-08-12
Security Technology Product 013,490.4,10.7,2.4,2.1,False,Rack9,High,2025-08-13
Security Technology Product 014,66.6,4.4,1.3,3.2,True,HighBay5,High,2025-08-14
Security Technology Product 015,459.2,3.9,5.4,5.1,True,LoadingDock5,Low,2025-08-15
Security Technology Product 016,612.1,11.0,1.3,2.1,True,EconomyLane,High,2025-08-16
Security Technology Product 017,444.7,2.9,1.8,3.1,True,Aisle1,Medium,2025-08-17
Security Technology Product 018,590.3,11.6,4.5,1.4,True,ReceivingArea,High,2025-08-18
Security Technology Product 019,590.3,0.4,2.5,3.6,False,Rack5,Low,2025-08-19
Security Technology Product 020,121.8,5.9,0.5,4.8,False,BulkItems,Medium,2025-08-20
Security Technology Product 021,161.4,11.0,2.8,2.6,True,ManualStorage3,Low,2025-08-21
Security Technology Product 022,634.1,6.9,4.2,0.7,True,SmallItemStorage,Low,2025-08-22
Security Technology Product 023,2.4,10.1,3.3,1.8,False,BulkItems,Medium,2025-08-23
Security Technology Product 024,53.5,7.2,3.1,5.4,True,ColdStorage,High,2025-08-24
Security Technology Product 025,203.8,10.0,5.3,3.8,False,ZoneF,High,2025-08-25
Security Technology Product 026,649.0,10.6,0.6,2.6,False,ZoneC,Medium,2025-08-26
Security Technology Product 027,266.7,9.6,4.7,1.4,True,Priority3,High,2025-08-27
