Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Database Technology Product 001,40.4,6.1,3.5,2.8,True,ColdStorage,High,2025-08-01
Database Technology Product 002,242.7,9.2,4.8,3.3,True,Mezzanine1,Low,2025-08-02
Database Technology Product 003,7.4,6.9,1.4,0.4,False,Aisle9,Low,2025-08-03
Database Technology Product 004,197.2,2.1,1.6,0.8,False,Floor5,High,2025-08-04
Database Technology Product 005,159.4,14.0,0.8,1.3,True,Aisle9,Medium,2025-08-05
Database Technology Product 006,120.8,5.5,4.4,4.5,True,Aisle1,Low,2025-08-06
Database Technology Product 007,71.0,1.8,4.8,1.5,False,AutomatedStorage4,Medium,2025-08-07
Database Technology Product 008,46.4,5.9,2.4,2.3,True,ReturnsArea,Low,2025-08-08
Database Technology Product 009,533.8,7.8,0.6,2.7,True,SmallItemStorage,Medium,2025-08-09
Database Technology Product 010,70.9,1.0,5.2,5.0,True,ShelfArea2,High,2025-08-10
Database Technology Product 011,202.6,6.8,3.2,1.0,True,Rack2,Low,2025-08-11
Database Technology Product 012,645.9,5.6,6.0,2.0,False,PremiumLane,Medium,2025-08-12
Database Technology Product 013,506.2,2.6,3.4,1.1,False,StandardLane,High,2025-08-13
Database Technology Product 014,574.8,8.1,4.7,4.2,False,Mezzanine2,Medium,2025-08-14
Database Technology Product 015,575.5,8.4,3.4,1.6,False,MediumItems,Low,2025-08-15
Database Technology Product 016,400.2,7.9,6.0,0.8,True,SectionC,Low,2025-08-16
Database Technology Product 017,412.2,5.2,3.8,4.1,True,Priority1,Medium,2025-08-17
Database Technology Product 018,664.1,11.6,6.0,3.9,True,Floor4,Medium,2025-08-18
Database Technology Product 019,785.4,8.2,6.5,0.4,True,HighBay3,Medium,2025-08-19
Database Technology Product 020,35.8,0.6,5.1,2.9,False,ManualStorage4,High,2025-08-20
Database Technology Product 021,123.0,0.8,5.8,0.3,True,Rack10,High,2025-08-21
Database Technology Product 022,111.1,11.8,4.5,3.1,False,Rack7,Low,2025-08-22
Database Technology Product 023,351.2,1.1,2.5,0.9,False,BulkItems,High,2025-08-23
Database Technology Product 024,535.9,2.5,0.9,1.5,True,Aisle6,Low,2025-08-24
Database Technology Product 025,64.6,6.8,6.3,1.2,True,Basement5,Medium,2025-08-25
Database Technology Product 026,208.0,11.0,3.2,5.0,True,Rack7,High,2025-08-26
Database Technology Product 027,426.5,12.8,0.8,3.4,True,SectionA,High,2025-08-27
Database Technology Product 028,382.0,5.7,2.0,0.8,False,Rack3,High,2025-08-28
Database Technology Product 029,333.9,7.4,4.3,2.6,False,BulkItems,Low,2025-08-29
Database Technology Product 030,40.8,4.8,6.3,3.0,False,StandardLane,Medium,2025-08-30
Database Technology Product 031,91.5,10.1,2.5,1.7,True,Basement4,Medium,2025-08-01
Database Technology Product 032,149.7,3.8,5.8,5.7,True,Priority5,High,2025-08-02
Database Technology Product 033,415.8,4.5,2.7,2.8,False,DryStorage,Medium,2025-08-03
Database Technology Product 034,475.3,15.1,3.5,0.3,False,Floor1,High,2025-08-04
Database Technology Product 035,141.0,1.7,5.5,2.2,True,LoadingDock3,Medium,2025-08-05
Database Technology Product 036,722.5,2.5,2.1,1.6,True,Priority5,Low,2025-08-06
Database Technology Product 037,608.0,8.0,2.8,0.3,False,StandardLane,Medium,2025-08-07
Database Technology Product 038,374.6,12.7,3.9,4.4,True,Priority1,High,2025-08-08
Database Technology Product 039,65.3,5.6,0.8,0.4,False,SectionH,High,2025-08-09
Database Technology Product 040,545.5,7.3,6.7,1.3,True,ShippingArea,High,2025-08-10
Database Technology Product 041,418.0,5.0,1.0,1.2,False,AutomatedStorage3,Low,2025-08-11
Database Technology Product 042,155.0,2.5,3.6,0.2,True,Rack7,Low,2025-08-12
Database Technology Product 043,247.8,3.8,0.6,2.6,True,PalletArea1,High,2025-08-13
Database Technology Product 044,412.4,8.5,4.6,0.4,True,HeavyItems,Low,2025-08-14
Database Technology Product 045,100.7,10.4,0.4,3.4,True,ManualStorage5,High,2025-08-15
Database Technology Product 046,246.7,2.1,3.1,4.7,False,FragileItems,Medium,2025-08-16
Database Technology Product 047,60.5,10.8,3.6,2.3,True,AutomatedStorage4,Medium,2025-08-17
Database Technology Product 048,29.3,7.4,6.8,2.7,True,AutomatedStorage4,High,2025-08-18
Database Technology Product 049,162.9,6.9,3.8,2.7,True,LoadingDock5,Medium,2025-08-19
Database Technology Product 050,160.4,8.8,3.1,2.6,True,LoadingDock3,High,2025-08-20
Database Technology Product 051,274.3,15.8,3.7,1.6,True,SlowMoving,High,2025-08-21
Database Technology Product 052,385.4,14.7,4.8,1.0,True,Rack7,High,2025-08-22
Database Technology Product 053,328.5,11.8,0.4,1.9,False,SectionD,Medium,2025-08-23
Database Technology Product 054,38.5,2.1,5.8,2.6,False,PremiumLane,High,2025-08-24
Database Technology Product 055,14.8,10.1,4.3,2.8,False,DryStorage,High,2025-08-25
Database Technology Product 056,347.1,0.4,1.1,1.8,True,Mezzanine1,Medium,2025-08-26
Database Technology Product 057,219.2,8.7,0.5,6.2,False,StandardLane,Low,2025-08-27
Database Technology Product 058,400.8,6.8,4.6,2.3,True,ZoneJ,Medium,2025-08-28
Database Technology Product 059,324.9,1.5,4.2,1.8,False,ReceivingArea,Low,2025-08-29
Database Technology Product 060,552.4,3.8,1.2,1.2,False,ShelfArea3,Medium,2025-08-30
Database Technology Product 061,3.3,11.9,4.2,5.5,True,Basement2,Medium,2025-08-01
Database Technology Product 062,464.6,7.8,1.1,2.6,True,LargeItems,Low,2025-08-02
Database Technology Product 063,309.1,12.3,4.7,1.6,False,Rack10,Low,2025-08-03
Database Technology Product 064,16.5,8.8,4.5,2.9,True,ShelfArea5,High,2025-08-04
Database Technology Product 065,410.3,11.1,6.8,2.2,True,ZoneJ,High,2025-08-05
Database Technology Product 066,441.7,8.9,4.7,2.5,True,Basement5,High,2025-08-06
Database Technology Product 067,440.8,13.1,0.8,2.2,True,Basement2,Medium,2025-08-07
Database Technology Product 068,698.0,0.8,1.3,2.6,False,Rack3,Low,2025-08-08
Database Technology Product 069,532.6,13.8,0.8,0.3,True,SectionB,Medium,2025-08-09
Database Technology Product 070,102.1,11.7,4.2,1.9,False,Basement4,Low,2025-08-10
Database Technology Product 071,145.7,11.6,0.5,1.9,False,Mezzanine2,Medium,2025-08-11
Database Technology Product 072,532.1,3.1,3.4,1.9,True,LoadingDock1,Low,2025-08-12
Database Technology Product 073,13.1,6.0,6.9,0.2,False,HighBay5,Medium,2025-08-13
Database Technology Product 074,234.2,2.4,1.5,5.5,True,Rack8,High,2025-08-14
Database Technology Product 075,74.5,3.9,1.8,0.6,True,Aisle6,Medium,2025-08-15
Database Technology Product 076,288.8,9.0,2.4,1.4,False,SmallItemStorage,Medium,2025-08-16
Database Technology Product 077,7.7,0.3,4.1,4.8,True,ShelfArea4,Low,2025-08-17
Database Technology Product 078,301.2,7.6,2.9,2.0,True,HighBay5,Medium,2025-08-18
