Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Web Technology Product 001,667.7,9.1,5.5,0.2,True,Priority4,Medium,2025-08-01
Web Technology Product 002,78.1,6.2,5.2,2.2,False,Rack3,Medium,2025-08-02
Web Technology Product 003,236.0,5.4,2.0,1.6,False,ShelfArea4,High,2025-08-03
Web Technology Product 004,242.9,0.9,0.5,1.0,False,StandardLane,High,2025-08-04
Web Technology Product 005,236.1,4.0,2.1,1.8,True,ManualStorage3,High,2025-08-05
Web Technology Product 006,70.6,6.6,2.2,5.5,False,LoadingDock3,Medium,2025-08-06
Web Technology Product 007,423.0,5.3,2.2,0.8,True,LoadingDock4,Medium,2025-08-07
Web Technology Product 008,288.1,10.5,6.9,3.1,True,SectionC,Low,2025-08-08
Web Technology Product 009,260.0,7.2,2.1,1.2,True,PalletArea1,High,2025-08-09
Web Technology Product 010,493.9,3.3,0.9,4.3,True,Rack10,Medium,2025-08-10
Web Technology Product 011,291.2,7.4,0.6,1.7,True,ZoneI,Low,2025-08-11
Web Technology Product 012,617.4,3.1,5.0,2.0,True,ExpressLane,Medium,2025-08-12
Web Technology Product 013,156.9,7.4,1.8,4.6,False,HighBay2,High,2025-08-13
Web Technology Product 014,152.4,8.6,4.3,3.1,False,ManualStorage1,High,2025-08-14
Web Technology Product 015,232.4,7.2,1.9,2.6,True,Rack1,Low,2025-08-15
Web Technology Product 016,624.5,5.9,4.9,2.4,False,Rack10,High,2025-08-16
Web Technology Product 017,157.1,5.6,2.7,2.0,True,ZoneG,Low,2025-08-17
Web Technology Product 018,285.9,7.6,6.3,1.0,True,Basement3,Low,2025-08-18
Web Technology Product 019,68.6,11.0,3.8,3.8,False,LightItems,Low,2025-08-19
Web Technology Product 020,425.3,1.4,1.6,2.1,False,ReturnsArea,Low,2025-08-20
Web Technology Product 021,212.6,3.4,5.2,3.5,False,LoadingDock5,Medium,2025-08-21
Web Technology Product 022,456.7,3.6,6.8,4.0,False,ZoneC,High,2025-08-22
Web Technology Product 023,145.7,6.3,3.9,5.1,True,ZoneD,High,2025-08-23
Web Technology Product 024,113.7,5.2,7.1,3.5,False,Rack7,Medium,2025-08-24
Web Technology Product 025,225.8,1.5,4.1,3.4,False,Rack8,Low,2025-08-25
Web Technology Product 026,333.8,1.7,4.8,0.4,False,FragileItems,High,2025-08-26
Web Technology Product 027,488.2,5.0,2.5,2.2,False,PalletArea2,High,2025-08-27
Web Technology Product 028,582.1,12.7,0.5,4.3,False,LoadingDock2,Medium,2025-08-28
Web Technology Product 029,530.6,3.2,4.1,0.7,True,ExpressLane,Medium,2025-08-29
Web Technology Product 030,302.8,2.2,1.4,4.6,True,Floor2,Low,2025-08-30
Web Technology Product 031,609.1,10.1,5.0,2.9,False,Aisle10,Medium,2025-08-01
Web Technology Product 032,485.9,1.5,6.4,2.8,True,Rack5,Low,2025-08-02
Web Technology Product 033,812.0,5.1,4.4,3.6,False,Aisle3,Medium,2025-08-03
Web Technology Product 034,220.1,4.6,5.9,2.9,True,AutomatedStorage2,Medium,2025-08-04
Web Technology Product 035,410.5,3.9,4.8,5.0,True,ExpressLane,High,2025-08-05
Web Technology Product 036,49.2,1.0,1.0,2.1,False,ZoneF,Medium,2025-08-06
Web Technology Product 037,496.1,6.3,5.9,0.9,False,HazardousStorage,High,2025-08-07
Web Technology Product 038,10.7,12.5,4.6,3.0,False,SmallItemStorage,Low,2025-08-08
Web Technology Product 039,190.6,9.9,5.2,1.8,True,SmallItemStorage,Medium,2025-08-09
Web Technology Product 040,434.7,2.2,0.9,1.3,True,LargeItems,Medium,2025-08-10
Web Technology Product 041,469.8,0.6,1.0,0.6,True,SectionE,Low,2025-08-11
Web Technology Product 042,317.6,11.6,5.8,3.9,False,Basement2,High,2025-08-12
Web Technology Product 043,308.9,6.4,5.4,1.6,True,ShelfArea3,Low,2025-08-13
Web Technology Product 044,754.4,0.9,4.9,5.8,False,ColdStorage,Medium,2025-08-14
Web Technology Product 045,521.0,14.9,0.9,3.0,False,ShippingArea,Low,2025-08-15
Web Technology Product 046,96.3,6.1,2.3,5.1,True,Aisle5,Medium,2025-08-16
Web Technology Product 047,460.8,8.5,1.9,1.6,False,OverflowLane,Low,2025-08-17
Web Technology Product 048,182.1,2.4,2.1,0.7,False,LoadingDock3,High,2025-08-18
Web Technology Product 049,348.3,6.7,7.0,2.2,True,Priority1,Low,2025-08-19
Web Technology Product 050,360.0,3.8,3.3,2.2,False,SmallItemStorage,Medium,2025-08-20
Web Technology Product 051,265.7,5.8,1.3,1.6,True,ZoneC,Low,2025-08-21
Web Technology Product 052,411.3,6.5,0.6,1.1,False,Rack9,Medium,2025-08-22
Web Technology Product 053,167.1,5.7,5.8,0.4,False,OverflowStorage,Low,2025-08-23
Web Technology Product 054,501.0,2.5,0.4,1.2,False,Rack5,High,2025-08-24
Web Technology Product 055,88.1,14.6,1.8,5.0,True,Aisle10,Low,2025-08-25
Web Technology Product 056,38.0,0.3,1.2,3.7,True,Floor5,Low,2025-08-26
Web Technology Product 057,467.6,2.4,2.4,0.6,False,Basement3,Low,2025-08-27
Web Technology Product 058,10.4,10.8,3.2,1.6,False,DryStorage,Medium,2025-08-28
Web Technology Product 059,34.9,9.4,0.5,4.3,False,BulkItems,Medium,2025-08-29
Web Technology Product 060,85.4,0.6,1.2,2.2,True,Basement3,High,2025-08-30
Web Technology Product 061,179.3,14.9,0.3,4.6,False,ZoneG,High,2025-08-01
