Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Mobile App Technology Product 001,702.8,3.4,4.1,3.1,True,ZoneI,Low,2025-08-01
Mobile App Technology Product 002,407.7,14.4,1.1,2.7,True,HighBay2,Medium,2025-08-02
Mobile App Technology Product 003,576.7,6.2,5.1,3.6,False,ZoneE,Medium,2025-08-03
Mobile App Technology Product 004,450.2,13.1,4.9,1.7,True,LargeItems,Medium,2025-08-04
Mobile App Technology Product 005,197.2,10.2,0.9,0.9,True,Mezzanine5,High,2025-08-05
Mobile App Technology Product 006,315.4,9.9,4.1,3.4,False,AutomatedStorage5,High,2025-08-06
Mobile App Technology Product 007,218.4,14.4,0.6,4.1,False,AutomatedStorage1,High,2025-08-07
Mobile App Technology Product 008,5.1,1.3,2.7,1.8,False,SectionA,High,2025-08-08
Mobile App Technology Product 009,424.9,7.8,2.8,2.1,False,Priority2,Low,2025-08-09
Mobile App Technology Product 010,244.4,7.7,2.1,2.0,False,BulkItems,Medium,2025-08-10
Mobile App Technology Product 011,263.2,2.0,4.5,4.2,False,Aisle2,Medium,2025-08-11
Mobile App Technology Product 012,68.9,8.3,7.6,5.1,False,OverflowStorage,High,2025-08-12
Mobile App Technology Product 013,452.2,9.2,0.9,4.4,False,SectionG,Low,2025-08-13
Mobile App Technology Product 014,316.6,2.4,1.3,4.7,True,BulkItems,Low,2025-08-14
Mobile App Technology Product 015,89.5,9.6,3.4,2.8,False,HighBay5,Medium,2025-08-15
Mobile App Technology Product 016,512.6,3.9,3.5,4.7,False,PalletArea4,Medium,2025-08-16
Mobile App Technology Product 017,486.3,4.5,1.1,0.4,True,Seasonal,Medium,2025-08-17
Mobile App Technology Product 018,195.3,3.2,3.9,2.3,False,QualityControl,Medium,2025-08-18
Mobile App Technology Product 019,662.3,7.5,4.4,3.7,False,FastMoving,Low,2025-08-19
Mobile App Technology Product 020,623.7,8.9,7.5,2.7,False,Mezzanine1,High,2025-08-20
Mobile App Technology Product 021,279.5,4.3,2.7,2.7,False,ShelfArea3,Low,2025-08-21
Mobile App Technology Product 022,92.4,9.7,1.1,5.2,False,ShelfArea1,Low,2025-08-22
Mobile App Technology Product 023,6.4,7.4,3.9,2.2,False,LoadingDock1,Low,2025-08-23
Mobile App Technology Product 024,705.3,7.6,5.7,4.3,True,Rack6,Medium,2025-08-24
Mobile App Technology Product 025,430.0,9.6,7.2,6.0,False,Aisle4,Medium,2025-08-25
Mobile App Technology Product 026,367.0,13.2,1.7,3.9,False,Rack4,Medium,2025-08-26
Mobile App Technology Product 027,242.8,9.4,4.0,3.4,False,LightItems,High,2025-08-27
Mobile App Technology Product 028,275.2,7.1,0.4,0.7,True,OverflowLane,High,2025-08-28
Mobile App Technology Product 029,144.9,13.5,0.4,1.7,False,PalletArea1,High,2025-08-29
Mobile App Technology Product 030,882.7,7.0,5.8,0.9,False,ZoneB,Medium,2025-08-30
Mobile App Technology Product 031,245.8,8.4,2.9,0.4,True,Rack2,Medium,2025-08-01
Mobile App Technology Product 032,465.5,15.6,4.8,2.1,False,ShelfArea1,Medium,2025-08-02
Mobile App Technology Product 033,315.2,0.8,1.3,4.6,False,DryStorage,Low,2025-08-03
Mobile App Technology Product 034,259.3,6.0,4.5,3.9,False,ReturnsArea,Medium,2025-08-04
Mobile App Technology Product 035,792.6,1.2,4.5,4.0,False,HighBay1,High,2025-08-05
Mobile App Technology Product 036,633.0,1.1,5.5,3.7,False,AutomatedStorage1,Low,2025-08-06
Mobile App Technology Product 037,556.8,10.4,2.2,0.7,False,SmallItemStorage,High,2025-08-07
Mobile App Technology Product 038,202.7,8.1,4.4,1.2,True,ManualStorage2,High,2025-08-08
Mobile App Technology Product 039,404.4,6.0,1.3,1.6,True,SectionF,Low,2025-08-09
Mobile App Technology Product 040,152.1,7.9,6.9,2.5,True,PalletArea5,Medium,2025-08-10
