Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Game Technology Product 001,137.1,10.2,0.8,1.4,True,ZoneB,High,2025-08-01
Game Technology Product 002,79.2,3.2,1.4,0.3,True,ZoneE,High,2025-08-02
Game Technology Product 003,307.8,4.3,0.3,3.6,False,AutomatedStorage3,Medium,2025-08-03
Game Technology Product 004,59.3,12.0,3.1,1.9,False,ZoneG,Medium,2025-08-04
Game Technology Product 005,274.1,5.6,3.7,1.1,False,Rack3,High,2025-08-05
Game Technology Product 006,206.2,9.7,3.0,4.6,False,HighBay1,Low,2025-08-06
Game Technology Product 007,430.2,11.4,2.0,3.5,False,Rack8,Medium,2025-08-07
Game Technology Product 008,665.8,0.6,4.0,2.7,False,LoadingDock3,Medium,2025-08-08
Game Technology Product 009,433.0,9.8,2.1,4.4,True,ZoneD,Medium,2025-08-09
Game Technology Product 010,453.8,2.7,5.1,1.2,False,PremiumLane,Medium,2025-08-10
Game Technology Product 011,666.7,15.5,2.4,5.6,True,Rack8,Low,2025-08-11
Game Technology Product 012,519.6,13.2,1.7,4.0,True,PalletArea2,Low,2025-08-12
Game Technology Product 013,219.3,2.5,5.0,0.7,False,Basement4,Medium,2025-08-13
Game Technology Product 014,206.7,3.2,4.7,2.1,True,HighBay3,Medium,2025-08-14
Game Technology Product 015,18.5,1.6,2.1,2.6,False,Floor5,Low,2025-08-15
Game Technology Product 016,107.9,3.2,7.5,2.9,False,ShelfArea2,High,2025-08-16
Game Technology Product 017,371.9,2.8,5.6,3.7,True,Rack9,High,2025-08-17
Game Technology Product 018,530.0,7.5,5.3,4.1,False,Aisle5,Medium,2025-08-18
Game Technology Product 019,90.2,3.4,7.9,3.9,True,ZoneH,Low,2025-08-19
Game Technology Product 020,443.0,3.5,6.0,3.9,False,Mezzanine4,High,2025-08-20
Game Technology Product 021,66.1,7.6,4.4,4.0,True,Aisle5,Low,2025-08-21
Game Technology Product 022,530.6,11.9,5.7,1.9,False,Mezzanine1,Medium,2025-08-22
Game Technology Product 023,94.0,1.5,0.7,2.9,True,Mezzanine5,Medium,2025-08-23
Game Technology Product 024,314.4,2.9,2.8,2.1,False,Floor2,Low,2025-08-24
Game Technology Product 025,262.6,2.5,5.5,3.3,False,Priority3,High,2025-08-25
Game Technology Product 026,744.8,1.4,0.8,1.2,False,PalletArea3,High,2025-08-26
Game Technology Product 027,844.2,8.3,3.7,0.8,False,Mezzanine3,Low,2025-08-27
Game Technology Product 028,34.6,4.9,5.9,2.0,True,Floor4,Medium,2025-08-28
Game Technology Product 029,38.4,5.4,1.3,1.0,True,SectionA,Medium,2025-08-29
Game Technology Product 030,577.7,7.2,3.8,3.3,True,SectionC,Medium,2025-08-30
Game Technology Product 031,711.0,3.9,3.1,4.0,True,ManualStorage5,High,2025-08-01
Game Technology Product 032,263.0,3.7,2.1,1.3,True,Aisle10,Medium,2025-08-02
Game Technology Product 033,31.2,5.9,5.0,1.4,True,SectionB,Medium,2025-08-03
Game Technology Product 034,111.2,1.3,4.7,0.8,False,Floor3,High,2025-08-04
Game Technology Product 035,684.0,15.8,5.6,3.1,True,Basement3,Medium,2025-08-05
Game Technology Product 036,55.1,7.6,1.4,3.5,False,ZoneI,Medium,2025-08-06
Game Technology Product 037,248.8,7.6,4.8,4.4,False,HighBay3,High,2025-08-07
Game Technology Product 038,330.7,9.7,3.2,2.6,False,PalletArea4,High,2025-08-08
Game Technology Product 039,133.9,3.8,7.7,0.6,False,Aisle5,High,2025-08-09
Game Technology Product 040,276.0,2.9,1.7,1.5,False,AutomatedStorage2,Medium,2025-08-10
Game Technology Product 041,168.3,5.9,6.8,1.3,False,ZoneC,Medium,2025-08-11
Game Technology Product 042,289.7,2.5,5.5,1.2,True,Rack2,Medium,2025-08-12
Game Technology Product 043,84.4,10.2,5.1,3.6,False,ColdStorage,Low,2025-08-13
Game Technology Product 044,84.7,8.8,5.4,3.1,True,AutomatedStorage5,Low,2025-08-14
Game Technology Product 045,198.9,6.5,3.5,3.0,True,PalletArea5,High,2025-08-15
Game Technology Product 046,100.0,8.2,3.5,2.4,False,EconomyLane,Medium,2025-08-16
Game Technology Product 047,212.6,9.9,3.9,4.2,False,QualityControl,High,2025-08-17
Game Technology Product 048,555.6,7.5,4.5,2.6,True,Seasonal,High,2025-08-18
Game Technology Product 049,340.6,12.8,6.9,3.3,False,FastMoving,High,2025-08-19
Game Technology Product 050,588.8,4.1,7.2,1.5,True,QualityControl,Medium,2025-08-20
Game Technology Product 051,290.5,9.1,3.2,0.8,True,ExpressLane,High,2025-08-21
Game Technology Product 052,217.3,9.0,6.4,0.5,True,ZoneE,High,2025-08-22
Game Technology Product 053,146.0,6.3,1.4,6.3,True,AutomatedStorage2,High,2025-08-23
Game Technology Product 054,160.5,6.4,3.2,5.0,True,Floor5,High,2025-08-24
Game Technology Product 055,582.4,10.9,2.1,3.6,True,LargeItems,Medium,2025-08-25
Game Technology Product 056,539.2,10.5,3.7,1.4,False,Aisle7,High,2025-08-26
Game Technology Product 057,12.1,3.5,0.8,5.7,True,DryStorage,Medium,2025-08-27
Game Technology Product 058,386.5,15.4,1.5,4.1,False,SmallItemStorage,Medium,2025-08-28
Game Technology Product 059,43.5,13.6,6.2,0.6,False,ShelfArea3,Medium,2025-08-29
Game Technology Product 060,25.6,10.0,3.2,4.7,False,ShelfArea4,Medium,2025-08-30
Game Technology Product 061,477.6,7.6,2.9,1.1,True,Aisle8,Medium,2025-08-01
Game Technology Product 062,236.8,9.3,5.4,6.1,True,DryStorage,Medium,2025-08-02
Game Technology Product 063,48.0,1.9,5.9,4.5,True,SectionH,High,2025-08-03
Game Technology Product 064,617.1,11.2,4.9,3.9,True,Aisle4,Low,2025-08-04
Game Technology Product 065,110.7,0.5,1.9,4.0,False,Aisle8,Medium,2025-08-05
Game Technology Product 066,675.7,4.1,6.9,2.3,False,ShelfArea1,Low,2025-08-06
Game Technology Product 067,591.1,0.8,2.0,3.1,False,Basement4,Medium,2025-08-07
Game Technology Product 068,70.5,2.0,3.1,3.1,True,ManualStorage4,High,2025-08-08
Game Technology Product 069,714.6,2.1,1.9,0.6,True,Rack5,High,2025-08-09
Game Technology Product 070,209.4,7.4,3.9,2.6,True,Seasonal,Low,2025-08-10
Game Technology Product 071,489.9,13.2,4.2,3.4,False,LargeItems,Medium,2025-08-11
Game Technology Product 072,640.5,4.6,0.8,2.7,False,Floor1,High,2025-08-12
Game Technology Product 073,6.5,2.2,2.4,3.4,True,ZoneC,Medium,2025-08-13
Game Technology Product 074,13.4,5.7,3.3,2.8,True,SectionH,Medium,2025-08-14
Game Technology Product 075,68.1,10.4,4.3,2.8,False,PremiumLane,Low,2025-08-15
Game Technology Product 076,476.6,9.9,3.4,2.5,True,ColdStorage,High,2025-08-16
Game Technology Product 077,190.9,5.0,3.3,2.1,False,Aisle2,High,2025-08-17
Game Technology Product 078,494.6,3.2,1.0,2.1,False,Aisle5,High,2025-08-18
Game Technology Product 079,631.5,1.0,5.2,4.0,True,HeavyItems,Medium,2025-08-19
Game Technology Product 080,344.0,2.1,3.5,4.0,True,ReceivingArea,High,2025-08-20
Game Technology Product 081,611.0,4.8,4.4,0.7,True,AutomatedStorage5,Low,2025-08-21
Game Technology Product 082,729.6,16.3,2.2,3.2,True,ZoneH,Medium,2025-08-22
Game Technology Product 083,57.6,11.9,0.6,5.1,True,SectionD,High,2025-08-23
Game Technology Product 084,488.3,9.9,3.9,3.2,True,Priority1,High,2025-08-24
Game Technology Product 085,550.7,2.7,2.0,1.8,False,Rack4,High,2025-08-25
Game Technology Product 086,537.5,12.0,0.9,4.7,True,ZoneI,Low,2025-08-26
Game Technology Product 087,414.5,4.6,4.2,3.7,False,LoadingDock4,Low,2025-08-27
Game Technology Product 088,22.0,3.6,2.3,1.7,False,LoadingDock2,Medium,2025-08-28
Game Technology Product 089,244.6,7.4,4.3,3.3,False,ShelfArea3,Low,2025-08-29
Game Technology Product 090,431.6,5.8,4.1,1.3,True,Seasonal,Low,2025-08-30
Game Technology Product 091,325.3,7.7,2.7,0.5,True,LoadingDock4,High,2025-08-01
Game Technology Product 092,402.7,12.2,0.6,0.6,False,Priority5,Low,2025-08-02
Game Technology Product 093,685.7,2.6,0.9,0.3,False,Aisle4,High,2025-08-03
Game Technology Product 094,148.1,7.8,4.8,1.1,True,StandardLane,Low,2025-08-04
Game Technology Product 095,509.9,11.4,6.7,2.1,True,Basement4,High,2025-08-05
Game Technology Product 096,466.9,7.8,3.4,3.5,False,Aisle8,Low,2025-08-06
Game Technology Product 097,237.0,8.0,0.9,5.6,True,Mezzanine1,Low,2025-08-07
