Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Animation Technology Product 001,165.0,6.9,1.7,0.5,True,DryStorage,Medium,2025-08-01
Animation Technology Product 002,217.6,3.2,1.5,3.1,False,ZoneJ,Medium,2025-08-02
Animation Technology Product 003,398.2,1.6,6.0,3.2,True,SectionD,Medium,2025-08-03
Animation Technology Product 004,8.3,1.4,0.4,1.4,True,Aisle2,High,2025-08-04
Animation Technology Product 005,437.4,8.3,2.7,0.2,False,FragileItems,Low,2025-08-05
Animation Technology Product 006,483.3,15.9,3.1,3.4,False,SectionE,High,2025-08-06
Animation Technology Product 007,53.7,9.5,0.4,4.3,False,ShippingArea,High,2025-08-07
Animation Technology Product 008,826.2,1.2,4.4,1.0,True,Floor1,Low,2025-08-08
Animation Technology Product 009,426.4,12.7,6.8,2.1,False,HazardousStorage,Low,2025-08-09
Animation Technology Product 010,306.3,13.0,6.6,1.0,True,LargeItems,High,2025-08-10
Animation Technology Product 011,159.4,11.9,2.4,3.5,False,Seasonal,High,2025-08-11
Animation Technology Product 012,822.3,4.6,8.0,2.7,True,Floor1,Medium,2025-08-12
Animation Technology Product 013,17.6,0.7,0.7,0.9,False,Aisle8,Medium,2025-08-13
Animation Technology Product 014,318.4,12.9,6.7,2.2,False,SlowMoving,Medium,2025-08-14
Animation Technology Product 015,261.0,1.4,0.9,2.2,False,LoadingDock5,High,2025-08-15
Animation Technology Product 016,82.1,7.4,4.4,1.6,True,Mezzanine4,High,2025-08-16
Animation Technology Product 017,102.7,12.6,5.3,0.9,False,OverflowLane,High,2025-08-17
Animation Technology Product 018,229.6,4.0,6.2,1.6,True,ManualStorage3,Medium,2025-08-18
Animation Technology Product 019,220.3,5.2,5.2,3.4,True,DryStorage,Medium,2025-08-19
Animation Technology Product 020,50.1,0.6,2.4,2.0,False,ShippingArea,Medium,2025-08-20
Animation Technology Product 021,449.0,8.8,2.9,0.8,True,SectionD,Medium,2025-08-21
Animation Technology Product 022,436.9,3.5,0.8,3.9,False,Mezzanine1,Low,2025-08-22
Animation Technology Product 023,187.5,7.6,2.0,5.0,True,ZoneJ,High,2025-08-23
Animation Technology Product 024,343.4,6.3,0.3,2.6,True,SlowMoving,Medium,2025-08-24
Animation Technology Product 025,33.6,1.4,1.1,3.0,False,Mezzanine3,High,2025-08-25
Animation Technology Product 026,223.5,8.2,2.3,1.0,False,Aisle3,Medium,2025-08-26
Animation Technology Product 027,244.4,3.6,1.3,2.3,True,Priority4,High,2025-08-27
Animation Technology Product 028,248.4,9.0,7.2,3.0,True,Rack6,High,2025-08-28
Animation Technology Product 029,189.4,3.7,1.1,2.7,False,Aisle10,Low,2025-08-29
Animation Technology Product 030,132.1,7.9,2.3,4.8,False,PalletArea1,High,2025-08-30
Animation Technology Product 031,321.0,7.2,3.5,0.5,False,ShippingArea,Low,2025-08-01
Animation Technology Product 032,4.0,4.7,3.5,1.9,True,Mezzanine2,Medium,2025-08-02
Animation Technology Product 033,367.1,14.4,5.3,1.1,False,OverflowStorage,Medium,2025-08-03
Animation Technology Product 034,159.3,15.1,3.3,1.6,False,ReturnsArea,Medium,2025-08-04
Animation Technology Product 035,3.2,4.4,4.7,3.5,False,HighBay5,High,2025-08-05
Animation Technology Product 036,46.9,10.9,4.7,4.5,True,BulkStorage,Medium,2025-08-06
Animation Technology Product 037,116.8,2.6,4.8,1.8,False,ZoneA,High,2025-08-07
Animation Technology Product 038,99.3,2.9,4.4,4.7,True,ReturnsArea,Medium,2025-08-08
Animation Technology Product 039,356.6,4.9,3.3,1.2,False,PalletArea1,Medium,2025-08-09
Animation Technology Product 040,501.5,4.6,6.2,1.2,False,Aisle8,High,2025-08-10
Animation Technology Product 041,501.0,0.6,1.9,5.0,False,PalletArea1,Low,2025-08-11
Animation Technology Product 042,353.7,2.5,4.0,3.6,True,ShippingArea,Medium,2025-08-12
Animation Technology Product 043,393.4,8.5,3.9,4.6,False,ZoneI,Low,2025-08-13
Animation Technology Product 044,2.9,10.8,2.5,2.7,False,ShelfArea2,Medium,2025-08-14
Animation Technology Product 045,294.4,10.2,4.5,1.8,True,ZoneH,Medium,2025-08-15
Animation Technology Product 046,170.8,1.5,5.4,1.7,True,LoadingDock3,Low,2025-08-16
Animation Technology Product 047,656.6,0.4,1.8,0.3,True,SmallItems,Medium,2025-08-17
Animation Technology Product 048,564.6,6.9,6.6,0.4,True,SlowMoving,Medium,2025-08-18
Animation Technology Product 049,257.8,8.4,2.0,4.8,False,ShelfArea3,Medium,2025-08-19
Animation Technology Product 050,287.7,5.0,1.4,1.9,False,Aisle4,Low,2025-08-20
Animation Technology Product 051,235.7,9.7,4.8,3.1,True,LoadingDock4,High,2025-08-21
Animation Technology Product 052,186.3,4.0,0.9,4.0,False,Basement2,Medium,2025-08-22
Animation Technology Product 053,25.8,9.3,1.9,0.9,True,ReceivingArea,Low,2025-08-23
Animation Technology Product 054,427.3,5.9,5.0,2.5,False,LoadingDock4,Low,2025-08-24
Animation Technology Product 055,44.0,10.9,1.4,1.2,True,ReturnsArea,Low,2025-08-25
Animation Technology Product 056,117.4,10.3,2.1,2.1,False,HighBay4,Medium,2025-08-26
Animation Technology Product 057,73.5,7.1,1.6,5.5,False,BulkStorage,Medium,2025-08-27
Animation Technology Product 058,537.2,6.3,1.3,3.1,False,StandardLane,Low,2025-08-28
Animation Technology Product 059,306.3,12.6,3.4,2.2,True,ZoneI,Medium,2025-08-29
Animation Technology Product 060,719.7,3.6,1.7,0.5,True,Aisle9,High,2025-08-30
Animation Technology Product 061,57.8,10.5,1.3,3.8,True,Floor4,High,2025-08-01
Animation Technology Product 062,740.1,3.9,1.5,1.4,False,Mezzanine5,Medium,2025-08-02
Animation Technology Product 063,62.6,5.7,7.2,2.5,True,Rack1,High,2025-08-03
Animation Technology Product 064,438.8,2.5,3.7,1.6,False,HeavyItems,Medium,2025-08-04
Animation Technology Product 065,516.9,6.1,5.8,1.9,True,LargeItems,Low,2025-08-05
Animation Technology Product 066,219.8,11.2,7.4,2.7,False,PremiumLane,High,2025-08-06
Animation Technology Product 067,495.0,10.4,2.5,1.6,True,SectionF,Low,2025-08-07
Animation Technology Product 068,92.8,16.2,2.5,2.3,False,Mezzanine3,Medium,2025-08-08
Animation Technology Product 069,278.8,3.4,5.8,2.8,False,Rack2,High,2025-08-09
Animation Technology Product 070,203.4,11.8,7.3,0.5,False,ShelfArea2,Medium,2025-08-10
Animation Technology Product 071,107.1,9.2,4.6,4.0,False,Mezzanine3,High,2025-08-11
Animation Technology Product 072,375.9,10.8,3.1,3.0,True,PalletArea4,Medium,2025-08-12
Animation Technology Product 073,44.6,5.6,2.8,1.6,True,Mezzanine4,Medium,2025-08-13
Animation Technology Product 074,464.0,5.7,0.6,3.1,False,Basement1,Medium,2025-08-14
Animation Technology Product 075,344.4,1.1,2.7,1.7,True,HeavyItems,Medium,2025-08-15
Animation Technology Product 076,386.3,10.0,3.7,3.4,True,LoadingDock5,Medium,2025-08-16
Animation Technology Product 077,159.2,0.7,5.3,1.8,True,ShelfArea2,High,2025-08-17
Animation Technology Product 078,408.9,4.1,1.4,2.7,False,LightItems,Medium,2025-08-18
