Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Graphics Technology Product 001,42.2,2.4,5.1,1.4,True,Priority3,Low,2025-08-01
Graphics Technology Product 002,277.3,11.0,2.9,2.6,False,Mezzanine3,Low,2025-08-02
Graphics Technology Product 003,180.7,10.8,0.6,4.1,False,ZoneJ,Low,2025-08-03
Graphics Technology Product 004,52.9,1.9,4.0,1.1,False,LightItems,Medium,2025-08-04
Graphics Technology Product 005,681.2,7.6,5.9,0.7,True,Rack9,Low,2025-08-05
Graphics Technology Product 006,228.9,9.6,3.1,3.2,True,ZoneB,High,2025-08-06
Graphics Technology Product 007,225.1,0.6,1.4,0.5,False,SmallItemStorage,High,2025-08-07
Graphics Technology Product 008,358.1,5.7,1.8,3.6,False,LightItems,Low,2025-08-08
Graphics Technology Product 009,408.0,10.6,1.0,2.3,False,Rack5,Low,2025-08-09
Graphics Technology Product 010,201.1,7.1,1.5,0.3,False,SectionD,High,2025-08-10
Graphics Technology Product 011,229.6,0.2,4.7,0.6,True,Seasonal,High,2025-08-11
Graphics Technology Product 012,381.1,12.2,7.9,2.0,True,SectionF,Low,2025-08-12
Graphics Technology Product 013,235.8,7.3,0.7,0.8,False,DryStorage,Medium,2025-08-13
Graphics Technology Product 014,32.8,7.6,6.7,3.5,True,Basement5,Low,2025-08-14
Graphics Technology Product 015,584.6,16.0,7.2,3.8,False,Aisle9,Low,2025-08-15
Graphics Technology Product 016,37.5,2.3,3.8,2.7,False,PalletArea1,High,2025-08-16
Graphics Technology Product 017,5.7,1.0,2.5,0.7,True,Seasonal,Low,2025-08-17
Graphics Technology Product 018,383.4,3.3,2.7,0.9,False,StandardLane,Low,2025-08-18
Graphics Technology Product 019,389.5,5.6,6.0,2.0,True,ZoneE,Low,2025-08-19
Graphics Technology Product 020,131.9,2.1,3.9,4.0,False,Seasonal,Medium,2025-08-20
Graphics Technology Product 021,106.5,6.8,2.2,0.8,False,SectionE,Low,2025-08-21
Graphics Technology Product 022,795.1,7.4,3.8,1.4,False,Floor2,Medium,2025-08-22
Graphics Technology Product 023,413.3,4.6,2.3,1.2,True,AutomatedStorage3,Low,2025-08-23
Graphics Technology Product 024,103.6,6.9,1.3,1.6,False,Aisle1,Medium,2025-08-24
Graphics Technology Product 025,283.4,0.7,7.7,1.7,False,ZoneJ,High,2025-08-25
Graphics Technology Product 026,56.2,8.9,6.5,0.7,False,ShelfArea3,Medium,2025-08-26
Graphics Technology Product 027,506.3,3.6,6.5,4.7,True,Basement4,High,2025-08-27
