Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Audio Technology Product 001,175.3,9.1,1.2,1.1,False,Floor1,Low,2025-08-01
Audio Technology Product 002,700.6,16.0,0.5,4.5,True,SmallItems,High,2025-08-02
Audio Technology Product 003,604.4,9.2,4.7,5.1,True,ZoneG,Low,2025-08-03
Audio Technology Product 004,650.9,8.5,2.3,3.7,True,Priority5,High,2025-08-04
Audio Technology Product 005,740.4,5.6,2.2,3.3,False,Aisle3,High,2025-08-05
Audio Technology Product 006,21.4,0.6,1.0,2.6,True,ExpressLane,Low,2025-08-06
Audio Technology Product 007,348.9,14.0,4.1,3.8,False,HighBay2,Low,2025-08-07
Audio Technology Product 008,221.8,7.3,7.0,2.9,True,Mezzanine3,High,2025-08-08
Audio Technology Product 009,169.1,0.7,6.0,2.7,True,Rack7,High,2025-08-09
Audio Technology Product 010,337.9,0.5,1.9,2.1,False,BulkStorage,Low,2025-08-10
Audio Technology Product 011,161.2,2.7,4.7,0.8,False,AutomatedStorage5,High,2025-08-11
Audio Technology Product 012,269.0,10.1,7.5,5.1,True,ManualStorage3,Low,2025-08-12
Audio Technology Product 013,489.0,0.7,4.6,2.7,True,PremiumLane,Medium,2025-08-13
Audio Technology Product 014,215.3,2.8,3.8,1.8,True,HazardousStorage,High,2025-08-14
Audio Technology Product 015,344.2,1.4,2.0,5.3,True,Aisle1,Medium,2025-08-15
Audio Technology Product 016,358.0,4.5,4.3,1.0,False,Mezzanine3,Low,2025-08-16
Audio Technology Product 017,510.0,8.7,3.2,3.3,True,PalletArea2,High,2025-08-17
Audio Technology Product 018,220.5,10.9,3.6,3.8,True,SectionF,High,2025-08-18
Audio Technology Product 019,35.5,13.1,3.2,1.0,False,ZoneB,High,2025-08-19
Audio Technology Product 020,280.3,9.6,3.6,1.5,False,LoadingDock1,Low,2025-08-20
Audio Technology Product 021,133.5,10.0,6.5,4.2,False,HighBay5,Medium,2025-08-21
Audio Technology Product 022,240.6,10.9,5.1,2.9,False,Basement2,Medium,2025-08-22
Audio Technology Product 023,73.1,4.1,2.7,1.1,True,ZoneB,High,2025-08-23
Audio Technology Product 024,440.0,3.1,4.2,2.0,False,Priority4,Medium,2025-08-24
Audio Technology Product 025,785.1,10.2,1.7,1.0,False,SectionC,Medium,2025-08-25
Audio Technology Product 026,332.2,7.5,4.4,2.6,True,Mezzanine2,Medium,2025-08-26
Audio Technology Product 027,451.8,9.8,3.1,4.2,True,HighBay4,Low,2025-08-27
