Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Video Technology Product 001,137.1,7.6,4.9,5.0,True,LoadingDock5,High,2025-08-01
Video Technology Product 002,249.9,11.3,7.3,2.3,True,Floor1,Medium,2025-08-02
Video Technology Product 003,316.0,15.4,5.3,0.7,True,HighBay1,Low,2025-08-03
Video Technology Product 004,161.3,13.7,6.1,3.6,False,SectionA,Low,2025-08-04
Video Technology Product 005,186.6,8.6,2.7,1.8,True,Floor3,High,2025-08-05
Video Technology Product 006,228.8,6.5,1.8,4.4,False,PalletArea5,Low,2025-08-06
Video Technology Product 007,185.7,1.4,3.4,3.4,False,Aisle2,Low,2025-08-07
Video Technology Product 008,274.7,0.6,3.8,1.0,True,Floor4,Medium,2025-08-08
Video Technology Product 009,166.0,10.1,4.3,1.7,True,SmallItems,Low,2025-08-09
Video Technology Product 010,121.0,8.1,1.0,0.4,True,LoadingDock2,Medium,2025-08-10
Video Technology Product 011,752.7,7.9,1.1,1.6,False,AutomatedStorage3,Medium,2025-08-11
Video Technology Product 012,66.6,10.4,2.3,1.6,False,Priority4,Low,2025-08-12
Video Technology Product 013,198.6,3.2,3.0,3.2,False,Rack2,Low,2025-08-13
Video Technology Product 014,777.6,5.9,2.4,5.2,False,ZoneC,High,2025-08-14
Video Technology Product 015,545.1,4.7,2.0,1.4,False,Floor1,Medium,2025-08-15
Video Technology Product 016,202.4,11.6,2.0,0.9,True,ZoneG,Medium,2025-08-16
Video Technology Product 017,198.2,3.9,2.9,2.6,False,HighBay4,Medium,2025-08-17
Video Technology Product 018,343.7,13.7,3.7,3.3,True,Priority3,Low,2025-08-18
Video Technology Product 019,224.0,9.4,4.2,2.4,False,ShelfArea4,Low,2025-08-19
Video Technology Product 020,406.1,11.7,1.2,1.1,False,ManualStorage2,Low,2025-08-20
Video Technology Product 021,109.7,13.0,1.9,2.4,True,OverflowStorage,Medium,2025-08-21
Video Technology Product 022,704.7,0.9,1.0,2.8,False,ShelfArea2,High,2025-08-22
Video Technology Product 023,311.4,4.4,7.6,5.7,False,Mezzanine1,Low,2025-08-23
Video Technology Product 024,103.4,2.4,3.2,0.7,True,Floor3,Medium,2025-08-24
Video Technology Product 025,193.7,8.6,1.8,0.7,False,HeavyItems,High,2025-08-25
Video Technology Product 026,330.6,9.2,3.9,2.9,True,LoadingDock1,Medium,2025-08-26
Video Technology Product 027,260.7,0.5,6.0,3.6,True,ExpressLane,High,2025-08-27
Video Technology Product 028,397.0,2.2,0.3,2.4,True,ShelfArea2,High,2025-08-28
Video Technology Product 029,154.3,7.5,2.7,3.2,True,QualityControl,Medium,2025-08-29
Video Technology Product 030,353.5,4.1,4.2,1.0,True,Mezzanine4,Medium,2025-08-30
Video Technology Product 031,529.5,9.7,2.3,3.8,True,Mezzanine2,Low,2025-08-01
Video Technology Product 032,355.8,9.6,1.2,4.1,False,ShelfArea3,High,2025-08-02
Video Technology Product 033,60.3,6.7,3.7,2.9,True,HighBay1,Medium,2025-08-03
Video Technology Product 034,508.9,7.3,6.3,2.6,True,MediumItems,Low,2025-08-04
Video Technology Product 035,421.6,2.5,1.4,1.3,True,SectionD,Low,2025-08-05
Video Technology Product 036,355.2,3.4,4.3,1.8,False,Mezzanine2,High,2025-08-06
Video Technology Product 037,551.1,2.3,3.7,1.1,False,AutomatedStorage4,Low,2025-08-07
Video Technology Product 038,113.9,14.3,4.9,1.2,False,Basement2,Low,2025-08-08
Video Technology Product 039,211.3,2.7,1.6,4.3,False,ZoneA,High,2025-08-09
Video Technology Product 040,460.7,12.4,6.0,1.9,False,SmallItemStorage,Low,2025-08-10
Video Technology Product 041,406.6,4.2,1.6,0.6,False,Mezzanine4,Medium,2025-08-11
Video Technology Product 042,447.0,1.8,0.4,4.4,False,ReturnsArea,Low,2025-08-12
Video Technology Product 043,651.8,3.4,0.5,1.6,False,SectionG,High,2025-08-13
Video Technology Product 044,588.6,1.9,2.7,3.9,True,FastMoving,High,2025-08-14
Video Technology Product 045,402.1,11.2,3.7,0.9,False,PalletArea3,Medium,2025-08-15
Video Technology Product 046,510.4,5.8,4.8,4.4,True,Rack1,High,2025-08-16
Video Technology Product 047,579.4,5.2,1.6,2.9,False,SectionH,Low,2025-08-17
Video Technology Product 048,80.1,9.2,3.6,2.2,True,ZoneE,Low,2025-08-18
Video Technology Product 049,224.8,2.2,1.7,0.5,False,Mezzanine1,Medium,2025-08-19
Video Technology Product 050,151.8,5.7,1.6,2.9,True,Basement2,Low,2025-08-20
Video Technology Product 051,287.9,2.3,0.5,3.3,True,ZoneJ,Low,2025-08-21
Video Technology Product 052,345.4,5.2,3.1,4.5,True,AutomatedStorage3,Low,2025-08-22
Video Technology Product 053,103.8,10.7,7.4,1.0,False,SectionD,Low,2025-08-23
Video Technology Product 054,285.5,5.8,2.5,5.5,False,Rack6,Medium,2025-08-24
Video Technology Product 055,250.7,8.1,5.6,0.2,False,ZoneJ,Medium,2025-08-25
Video Technology Product 056,620.2,4.2,3.9,1.3,False,SmallItemStorage,High,2025-08-26
Video Technology Product 057,469.0,9.8,3.7,2.5,False,Rack4,Low,2025-08-27
Video Technology Product 058,419.4,10.4,0.9,4.1,False,ShelfArea2,High,2025-08-28
Video Technology Product 059,490.5,2.6,2.1,1.1,False,LightItems,Low,2025-08-29
Video Technology Product 060,411.4,10.1,0.5,3.0,True,Rack5,High,2025-08-30
Video Technology Product 061,478.7,4.8,5.4,1.8,True,ZoneE,High,2025-08-01
Video Technology Product 062,372.0,12.8,0.4,0.7,False,EconomyLane,Medium,2025-08-02
Video Technology Product 063,398.9,3.0,2.8,4.2,True,ShelfArea4,High,2025-08-03
Video Technology Product 064,267.6,8.7,1.0,2.3,False,ShelfArea4,High,2025-08-04
Video Technology Product 065,186.4,4.1,3.6,1.6,True,PalletArea2,Low,2025-08-05
Video Technology Product 066,458.5,11.7,6.3,3.4,True,Priority5,High,2025-08-06
Video Technology Product 067,252.4,11.8,7.4,3.2,True,PalletArea1,High,2025-08-07
Video Technology Product 068,331.6,11.1,2.3,5.4,False,Priority5,Low,2025-08-08
Video Technology Product 069,345.9,1.6,0.4,1.1,False,Priority1,Low,2025-08-09
Video Technology Product 070,30.8,2.7,3.4,6.0,False,QualityControl,High,2025-08-10
Video Technology Product 071,362.6,3.2,3.3,3.7,True,Rack9,High,2025-08-11
Video Technology Product 072,480.9,3.4,4.4,3.0,True,ManualStorage5,High,2025-08-12
Video Technology Product 073,511.1,7.6,4.4,2.1,False,Aisle2,High,2025-08-13
Video Technology Product 074,11.8,1.5,1.9,4.2,False,Rack10,High,2025-08-14
Video Technology Product 075,491.0,3.7,2.1,4.8,True,SlowMoving,High,2025-08-15
Video Technology Product 076,502.3,14.6,0.4,0.5,True,AutomatedStorage2,Medium,2025-08-16
Video Technology Product 077,360.0,13.3,2.1,3.3,True,LargeItems,Medium,2025-08-17
