Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Streaming Technology Product 001,7.2,7.7,3.9,0.3,False,Aisle1,Low,2025-08-01
Streaming Technology Product 002,40.9,8.0,3.8,0.9,True,Priority2,Medium,2025-08-02
Streaming Technology Product 003,315.2,6.5,1.1,1.8,False,SectionA,Low,2025-08-03
Streaming Technology Product 004,281.7,10.7,4.1,1.3,True,LightItems,Medium,2025-08-04
Streaming Technology Product 005,338.4,1.4,1.1,3.6,True,Basement1,Medium,2025-08-05
Streaming Technology Product 006,224.9,7.3,1.6,3.4,False,ManualStorage4,Low,2025-08-06
Streaming Technology Product 007,390.1,10.5,3.4,1.4,False,OverflowLane,High,2025-08-07
Streaming Technology Product 008,578.8,5.6,0.7,2.0,True,Seasonal,Low,2025-08-08
Streaming Technology Product 009,313.8,9.1,3.5,3.4,False,Aisle7,High,2025-08-09
Streaming Technology Product 010,259.2,0.7,3.5,0.6,False,Rack3,Medium,2025-08-10
Streaming Technology Product 011,494.9,5.7,5.9,4.4,True,Basement3,High,2025-08-11
Streaming Technology Product 012,120.1,9.5,4.6,2.5,True,HighBay4,Low,2025-08-12
Streaming Technology Product 013,283.7,10.5,6.1,1.1,True,ShippingArea,Medium,2025-08-13
Streaming Technology Product 014,259.9,9.6,3.5,1.3,False,HighBay1,Low,2025-08-14
Streaming Technology Product 015,190.8,3.2,2.0,2.4,False,LoadingDock3,Low,2025-08-15
Streaming Technology Product 016,655.5,7.3,5.9,0.3,False,HighBay2,High,2025-08-16
Streaming Technology Product 017,576.0,7.0,4.8,3.0,False,Aisle4,High,2025-08-17
Streaming Technology Product 018,790.9,7.9,1.3,3.4,False,Aisle1,High,2025-08-18
Streaming Technology Product 019,583.6,6.2,0.3,0.4,False,PalletArea3,Low,2025-08-19
Streaming Technology Product 020,529.6,4.8,5.4,2.8,True,ReceivingArea,Medium,2025-08-20
Streaming Technology Product 021,302.3,4.9,3.8,0.2,False,PalletArea5,High,2025-08-21
Streaming Technology Product 022,530.6,13.4,2.5,5.9,False,ZoneA,Low,2025-08-22
Streaming Technology Product 023,351.0,0.9,6.3,2.4,True,Aisle4,Low,2025-08-23
Streaming Technology Product 024,22.4,0.8,2.6,2.2,False,ManualStorage4,High,2025-08-24
Streaming Technology Product 025,130.3,2.7,1.7,3.8,False,SectionF,Low,2025-08-25
Streaming Technology Product 026,567.1,6.8,0.9,1.4,False,ZoneB,Low,2025-08-26
Streaming Technology Product 027,329.6,11.2,4.8,0.4,False,Priority5,Medium,2025-08-27
Streaming Technology Product 028,241.2,1.6,2.4,0.5,True,Rack5,Medium,2025-08-28
Streaming Technology Product 029,534.5,4.1,4.4,2.9,True,SectionA,High,2025-08-29
Streaming Technology Product 030,44.0,9.2,3.3,2.6,True,Rack1,Low,2025-08-30
Streaming Technology Product 031,149.1,4.5,5.6,3.8,False,ZoneB,High,2025-08-01
Streaming Technology Product 032,486.7,10.0,1.5,1.2,False,Aisle2,Low,2025-08-02
Streaming Technology Product 033,549.9,4.2,1.1,4.4,False,SectionE,Medium,2025-08-03
Streaming Technology Product 034,542.9,2.0,1.7,3.3,False,AutomatedStorage2,Low,2025-08-04
Streaming Technology Product 035,350.9,9.1,4.9,0.4,True,ReceivingArea,High,2025-08-05
Streaming Technology Product 036,589.0,9.9,0.7,0.5,False,HighBay4,High,2025-08-06
Streaming Technology Product 037,293.2,7.5,1.4,4.5,False,ZoneG,High,2025-08-07
Streaming Technology Product 038,38.8,6.2,0.7,3.6,False,LightItems,Medium,2025-08-08
Streaming Technology Product 039,418.3,6.7,3.4,4.4,True,BulkItems,Medium,2025-08-09
Streaming Technology Product 040,469.8,2.6,1.9,0.3,False,Basement1,High,2025-08-10
Streaming Technology Product 041,161.8,2.6,5.4,2.3,True,Aisle10,High,2025-08-11
Streaming Technology Product 042,275.7,9.5,4.8,0.3,False,Aisle10,Medium,2025-08-12
Streaming Technology Product 043,6.3,3.5,5.3,2.7,False,PremiumLane,Medium,2025-08-13
Streaming Technology Product 044,343.6,7.0,1.8,2.2,False,Aisle7,Medium,2025-08-14
Streaming Technology Product 045,266.7,15.8,6.5,4.7,False,FastMoving,Low,2025-08-15
Streaming Technology Product 046,230.4,5.2,4.3,0.5,True,OverflowStorage,Medium,2025-08-16
Streaming Technology Product 047,769.8,3.2,4.9,0.5,False,HighBay2,High,2025-08-17
Streaming Technology Product 048,667.2,9.0,5.5,2.9,False,FragileItems,Medium,2025-08-18
Streaming Technology Product 049,192.3,3.5,6.8,5.0,False,Priority5,High,2025-08-19
Streaming Technology Product 050,93.8,2.2,2.3,1.6,False,Aisle4,Medium,2025-08-20
Streaming Technology Product 051,431.3,10.9,0.8,4.0,True,HazardousStorage,Low,2025-08-21
Streaming Technology Product 052,881.7,7.2,3.7,2.5,True,ShippingArea,Medium,2025-08-22
Streaming Technology Product 053,133.0,7.3,3.6,0.7,False,HazardousStorage,Low,2025-08-23
Streaming Technology Product 054,801.1,2.8,4.7,4.4,False,DryStorage,Medium,2025-08-24
Streaming Technology Product 055,170.9,10.1,0.3,4.7,True,Priority5,Medium,2025-08-25
Streaming Technology Product 056,12.9,4.6,1.5,0.5,False,Aisle10,High,2025-08-26
Streaming Technology Product 057,287.7,2.6,2.9,1.8,False,ReturnsArea,Low,2025-08-27
Streaming Technology Product 058,139.7,13.4,3.5,0.4,False,OverflowLane,High,2025-08-28
Streaming Technology Product 059,212.4,9.7,1.3,0.4,True,Mezzanine5,Medium,2025-08-29
Streaming Technology Product 060,149.8,1.2,4.1,3.1,True,SectionE,High,2025-08-30
Streaming Technology Product 061,436.2,0.8,8.1,3.4,True,ShippingArea,Medium,2025-08-01
Streaming Technology Product 062,542.6,5.4,1.0,4.0,False,Floor4,High,2025-08-02
Streaming Technology Product 063,85.6,5.0,3.5,1.0,False,Aisle8,Low,2025-08-03
Streaming Technology Product 064,360.0,4.0,1.8,1.7,True,SectionC,Medium,2025-08-04
Streaming Technology Product 065,448.3,9.9,6.2,3.1,False,Floor3,Medium,2025-08-05
Streaming Technology Product 066,38.2,1.4,0.9,1.7,False,PalletArea2,High,2025-08-06
Streaming Technology Product 067,782.9,8.6,2.4,0.6,False,LoadingDock1,High,2025-08-07
Streaming Technology Product 068,375.8,4.7,6.9,1.9,True,ShelfArea1,High,2025-08-08
Streaming Technology Product 069,546.3,10.1,2.3,3.4,True,Rack3,Low,2025-08-09
Streaming Technology Product 070,212.0,0.7,2.1,2.0,True,Basement5,Medium,2025-08-10
Streaming Technology Product 071,203.2,7.2,6.7,3.6,True,AutomatedStorage2,Low,2025-08-11
Streaming Technology Product 072,162.3,0.5,1.4,3.6,False,ManualStorage3,Medium,2025-08-12
Streaming Technology Product 073,395.5,8.0,4.9,0.7,True,HighBay4,Low,2025-08-13
Streaming Technology Product 074,171.3,7.6,1.6,0.8,True,LoadingDock1,High,2025-08-14
Streaming Technology Product 075,13.8,0.5,5.1,4.2,True,ZoneG,Low,2025-08-15
Streaming Technology Product 076,173.0,2.4,1.1,2.2,True,HeavyItems,High,2025-08-16
Streaming Technology Product 077,360.0,2.9,2.5,2.3,False,Mezzanine4,Medium,2025-08-17
Streaming Technology Product 078,672.5,3.7,2.5,1.0,False,Floor2,Medium,2025-08-18
Streaming Technology Product 079,45.7,10.9,6.4,2.2,False,Mezzanine3,Medium,2025-08-19
Streaming Technology Product 080,282.2,6.3,4.9,0.2,True,HighBay5,Low,2025-08-20
Streaming Technology Product 081,312.7,2.3,3.2,2.8,True,Floor1,Low,2025-08-21
