Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Social Media Technology Product 001,294.2,12.3,3.4,2.2,False,AutomatedStorage1,High,2025-08-01
Social Media Technology Product 002,793.1,13.9,3.2,5.3,False,Rack8,Low,2025-08-02
Social Media Technology Product 003,197.8,1.0,4.4,0.5,False,HighBay4,High,2025-08-03
Social Media Technology Product 004,110.1,7.4,4.3,1.8,False,Floor4,Low,2025-08-04
Social Media Technology Product 005,33.3,6.3,5.1,1.8,False,LoadingDock5,High,2025-08-05
Social Media Technology Product 006,108.7,13.0,1.9,2.1,True,Rack9,High,2025-08-06
Social Media Technology Product 007,619.9,10.5,3.9,4.4,False,ShelfArea3,Medium,2025-08-07
Social Media Technology Product 008,488.2,8.6,1.9,0.9,False,Mezzanine4,High,2025-08-08
Social Media Technology Product 009,723.7,6.8,5.3,3.0,True,Mezzanine5,Low,2025-08-09
Social Media Technology Product 010,530.3,4.0,2.3,0.3,True,AutomatedStorage4,Medium,2025-08-10
Social Media Technology Product 011,12.7,10.4,1.3,4.4,True,ShelfArea3,Medium,2025-08-11
Social Media Technology Product 012,106.1,6.7,5.2,3.2,False,HighBay3,High,2025-08-12
Social Media Technology Product 013,622.8,11.5,2.6,2.2,True,Priority3,Low,2025-08-13
Social Media Technology Product 014,454.9,10.3,5.1,2.7,True,SectionA,Medium,2025-08-14
Social Media Technology Product 015,247.4,8.7,2.2,1.5,False,Aisle9,High,2025-08-15
Social Media Technology Product 016,137.7,1.8,3.6,3.8,False,Rack10,High,2025-08-16
Social Media Technology Product 017,376.8,10.0,3.2,2.8,False,OverflowStorage,High,2025-08-17
Social Media Technology Product 018,495.3,2.3,7.5,5.2,True,ManualStorage1,Low,2025-08-18
Social Media Technology Product 019,152.5,5.8,1.0,3.3,True,SectionB,Medium,2025-08-19
Social Media Technology Product 020,148.5,1.3,1.2,3.3,True,SmallItems,High,2025-08-20
Social Media Technology Product 021,43.4,12.3,3.4,1.0,False,ManualStorage5,Medium,2025-08-21
Social Media Technology Product 022,118.9,14.0,1.2,2.7,False,HighBay3,High,2025-08-22
Social Media Technology Product 023,303.4,8.9,6.7,1.1,True,Aisle9,Low,2025-08-23
Social Media Technology Product 024,298.3,8.1,0.4,4.6,True,Seasonal,Medium,2025-08-24
Social Media Technology Product 025,391.1,1.5,1.5,2.0,True,ShelfArea5,High,2025-08-25
Social Media Technology Product 026,494.1,4.3,1.0,4.4,False,Aisle5,Medium,2025-08-26
Social Media Technology Product 027,89.2,2.0,5.7,1.2,True,ZoneD,High,2025-08-27
Social Media Technology Product 028,621.7,10.9,1.4,3.0,False,Rack7,Low,2025-08-28
Social Media Technology Product 029,294.7,1.6,3.3,0.4,True,FastMoving,High,2025-08-29
Social Media Technology Product 030,233.2,3.5,2.3,0.9,False,Rack5,High,2025-08-30
Social Media Technology Product 031,460.7,4.8,4.8,0.6,False,StandardLane,Low,2025-08-01
Social Media Technology Product 032,448.8,11.4,4.8,0.2,False,Aisle3,High,2025-08-02
Social Media Technology Product 033,520.9,7.7,5.5,0.3,False,SlowMoving,Medium,2025-08-03
Social Media Technology Product 034,32.8,12.4,6.5,4.2,True,Aisle1,Low,2025-08-04
Social Media Technology Product 035,661.6,1.2,2.9,1.3,True,Rack2,Low,2025-08-05
Social Media Technology Product 036,802.6,9.1,1.2,0.9,True,Basement2,Low,2025-08-06
Social Media Technology Product 037,477.7,13.2,2.1,4.5,True,OverflowLane,Low,2025-08-07
Social Media Technology Product 038,594.3,12.3,1.9,2.7,False,QualityControl,Medium,2025-08-08
Social Media Technology Product 039,465.5,11.2,1.1,2.3,False,SectionH,Medium,2025-08-09
Social Media Technology Product 040,375.0,1.8,3.5,4.4,False,MediumItems,High,2025-08-10
Social Media Technology Product 041,239.2,12.3,0.7,1.8,True,ReturnsArea,Low,2025-08-11
Social Media Technology Product 042,362.4,1.8,4.5,3.3,False,ManualStorage2,Medium,2025-08-12
