Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
E-commerce Technology Product 001,88.2,0.9,5.3,1.9,True,BulkStorage,High,2025-08-01
E-commerce Technology Product 002,8.1,10.9,0.9,3.9,False,ZoneA,High,2025-08-02
E-commerce Technology Product 003,644.5,9.0,2.5,4.5,False,ManualStorage4,Medium,2025-08-03
E-commerce Technology Product 004,563.7,5.5,5.4,3.2,True,Rack3,Low,2025-08-04
E-commerce Technology Product 005,331.8,12.5,1.7,5.4,False,ManualStorage4,High,2025-08-05
E-commerce Technology Product 006,385.4,8.1,4.1,4.7,True,ManualStorage3,Medium,2025-08-06
E-commerce Technology Product 007,193.0,8.6,2.5,2.3,False,SlowMoving,Low,2025-08-07
E-commerce Technology Product 008,501.4,0.9,3.2,3.1,False,PalletArea4,High,2025-08-08
E-commerce Technology Product 009,114.5,9.7,6.2,5.2,False,PalletArea3,High,2025-08-09
E-commerce Technology Product 010,535.7,1.2,3.9,3.5,False,Mezzanine2,Low,2025-08-10
E-commerce Technology Product 011,627.7,9.6,5.9,5.2,True,ShelfArea5,Medium,2025-08-11
E-commerce Technology Product 012,651.8,8.7,3.2,2.0,False,Rack3,High,2025-08-12
E-commerce Technology Product 013,255.3,15.2,2.4,4.3,False,LoadingDock3,Medium,2025-08-13
E-commerce Technology Product 014,29.5,5.9,1.0,3.6,False,Aisle1,Medium,2025-08-14
E-commerce Technology Product 015,169.8,6.3,1.2,1.8,True,Seasonal,Low,2025-08-15
E-commerce Technology Product 016,459.3,10.7,3.5,5.6,True,PremiumLane,Medium,2025-08-16
E-commerce Technology Product 017,262.4,5.7,1.7,2.0,False,HeavyItems,Low,2025-08-17
E-commerce Technology Product 018,460.7,12.9,1.7,0.5,True,ZoneE,Low,2025-08-18
E-commerce Technology Product 019,411.6,0.3,1.0,1.7,True,ZoneH,Low,2025-08-19
E-commerce Technology Product 020,712.6,4.9,1.0,1.5,False,Mezzanine2,High,2025-08-20
E-commerce Technology Product 021,629.2,5.7,5.4,5.7,True,StandardLane,High,2025-08-21
E-commerce Technology Product 022,109.7,5.9,7.3,5.0,True,SectionA,Low,2025-08-22
E-commerce Technology Product 023,250.4,6.4,5.1,2.1,True,ShippingArea,High,2025-08-23
E-commerce Technology Product 024,153.6,5.8,1.6,2.0,False,AutomatedStorage2,Low,2025-08-24
E-commerce Technology Product 025,25.1,12.2,6.1,3.8,False,Mezzanine5,Low,2025-08-25
E-commerce Technology Product 026,518.2,9.0,5.2,0.5,False,Mezzanine5,Low,2025-08-26
E-commerce Technology Product 027,505.6,0.7,5.2,1.9,False,Aisle3,Medium,2025-08-27
E-commerce Technology Product 028,412.1,14.3,6.0,4.6,True,SectionA,Medium,2025-08-28
E-commerce Technology Product 029,546.6,4.4,2.4,5.6,True,Priority1,High,2025-08-29
E-commerce Technology Product 030,758.3,3.8,3.7,4.7,True,AutomatedStorage1,Medium,2025-08-30
E-commerce Technology Product 031,883.4,8.1,4.8,2.8,True,ManualStorage3,Low,2025-08-01
E-commerce Technology Product 032,201.0,9.0,1.8,1.9,False,ManualStorage2,Low,2025-08-02
