Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Fintech Technology Product 001,115.9,2.6,4.0,0.6,True,EconomyLane,Medium,2025-08-01
Fintech Technology Product 002,76.6,8.2,3.5,0.1,False,SectionE,Low,2025-08-02
Fintech Technology Product 003,55.2,7.7,7.3,4.0,True,LargeItems,Low,2025-08-03
Fintech Technology Product 004,229.0,4.1,4.8,2.0,False,ManualStorage4,High,2025-08-04
Fintech Technology Product 005,158.1,0.6,3.8,3.2,True,ZoneI,Medium,2025-08-05
Fintech Technology Product 006,519.5,2.8,4.0,3.0,False,LoadingDock1,Low,2025-08-06
Fintech Technology Product 007,442.1,3.8,1.3,3.5,True,Aisle1,High,2025-08-07
Fintech Technology Product 008,54.0,5.7,0.8,2.8,True,Mezzanine3,High,2025-08-08
Fintech Technology Product 009,388.2,7.3,3.5,3.1,False,SlowMoving,Medium,2025-08-09
Fintech Technology Product 010,382.8,7.8,7.1,2.6,True,SectionD,Low,2025-08-10
Fintech Technology Product 011,156.5,3.0,2.9,4.2,True,ManualStorage5,Low,2025-08-11
Fintech Technology Product 012,458.6,6.2,3.2,1.8,False,ReturnsArea,Medium,2025-08-12
Fintech Technology Product 013,421.6,5.3,4.9,4.7,False,Priority2,High,2025-08-13
Fintech Technology Product 014,145.1,7.2,2.3,3.5,True,ZoneD,High,2025-08-14
Fintech Technology Product 015,189.3,4.4,0.6,2.4,False,ManualStorage5,Medium,2025-08-15
Fintech Technology Product 016,686.7,6.3,6.2,2.5,True,OverflowLane,Low,2025-08-16
Fintech Technology Product 017,478.5,2.3,0.7,3.8,False,SectionC,High,2025-08-17
Fintech Technology Product 018,164.8,0.5,7.2,4.5,False,LargeItems,Low,2025-08-18
Fintech Technology Product 019,333.2,3.9,5.1,4.2,True,HighBay3,High,2025-08-19
Fintech Technology Product 020,143.2,4.8,0.6,3.7,True,PalletArea2,Medium,2025-08-20
Fintech Technology Product 021,12.2,4.7,2.6,2.2,False,HighBay4,Low,2025-08-21
Fintech Technology Product 022,345.7,3.2,3.2,3.3,False,Seasonal,High,2025-08-22
Fintech Technology Product 023,274.8,7.3,3.0,1.9,False,Aisle4,High,2025-08-23
Fintech Technology Product 024,568.0,11.5,8.1,1.7,True,Priority4,Medium,2025-08-24
Fintech Technology Product 025,156.2,2.0,5.1,5.1,True,HighBay5,High,2025-08-25
Fintech Technology Product 026,209.9,10.4,4.7,1.0,False,Rack9,Low,2025-08-26
Fintech Technology Product 027,411.1,4.3,4.6,2.4,False,MediumItems,High,2025-08-27
Fintech Technology Product 028,526.4,0.7,6.5,1.2,False,Rack3,Medium,2025-08-28
Fintech Technology Product 029,426.9,10.9,1.1,6.3,True,SectionF,High,2025-08-29
Fintech Technology Product 030,184.8,3.9,1.3,1.7,True,ZoneD,Medium,2025-08-30
Fintech Technology Product 031,855.0,1.8,3.8,2.3,False,Mezzanine4,Medium,2025-08-01
Fintech Technology Product 032,81.2,11.3,3.9,2.1,True,LoadingDock4,Low,2025-08-02
Fintech Technology Product 033,602.3,9.7,0.6,2.2,False,SectionB,High,2025-08-03
Fintech Technology Product 034,329.7,12.4,1.7,3.0,True,Rack5,Low,2025-08-04
Fintech Technology Product 035,29.5,1.2,2.8,3.8,True,SlowMoving,Medium,2025-08-05
Fintech Technology Product 036,103.5,4.2,4.4,1.9,True,SectionG,Low,2025-08-06
Fintech Technology Product 037,442.7,1.7,3.4,1.4,True,Aisle2,Low,2025-08-07
Fintech Technology Product 038,141.5,2.0,7.2,3.4,False,SectionE,High,2025-08-08
Fintech Technology Product 039,79.3,1.5,1.4,2.8,True,Aisle7,Low,2025-08-09
Fintech Technology Product 040,444.9,12.3,7.6,4.4,True,ZoneF,High,2025-08-10
Fintech Technology Product 041,40.0,8.1,4.7,3.5,False,EconomyLane,High,2025-08-11
Fintech Technology Product 042,650.8,12.5,0.6,4.6,False,SectionC,Medium,2025-08-12
Fintech Technology Product 043,367.5,5.1,4.6,2.3,True,ManualStorage2,Low,2025-08-13
Fintech Technology Product 044,447.0,7.9,3.9,2.0,True,ShelfArea1,Medium,2025-08-14
Fintech Technology Product 045,196.3,13.4,4.9,0.3,True,Basement5,Medium,2025-08-15
Fintech Technology Product 046,20.5,5.7,0.9,4.5,False,Aisle2,Medium,2025-08-16
Fintech Technology Product 047,79.7,8.7,4.8,3.9,False,Basement1,Low,2025-08-17
Fintech Technology Product 048,541.9,6.2,2.0,3.0,False,Floor5,High,2025-08-18
Fintech Technology Product 049,185.8,11.3,2.4,1.1,False,ShelfArea5,Low,2025-08-19
Fintech Technology Product 050,62.4,0.8,0.6,3.8,True,HighBay5,Medium,2025-08-20
Fintech Technology Product 051,93.7,10.5,0.6,2.7,True,EconomyLane,Low,2025-08-21
Fintech Technology Product 052,234.0,3.8,7.7,3.3,True,Seasonal,Medium,2025-08-22
Fintech Technology Product 053,256.3,5.4,4.2,3.8,True,ReturnsArea,Medium,2025-08-23
Fintech Technology Product 054,13.3,9.4,4.6,6.0,False,LightItems,Medium,2025-08-24
Fintech Technology Product 055,339.7,7.2,0.4,4.0,True,PremiumLane,High,2025-08-25
Fintech Technology Product 056,558.1,7.9,4.9,2.5,False,ZoneB,High,2025-08-26
Fintech Technology Product 057,500.3,3.2,1.0,5.4,False,Priority3,Medium,2025-08-27
