Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Edtech Technology Product 001,235.3,7.2,3.1,5.0,True,EconomyLane,Medium,2025-08-01
Edtech Technology Product 002,171.2,6.2,3.7,1.3,False,ShelfArea1,Low,2025-08-02
Edtech Technology Product 003,632.1,4.2,0.8,3.0,False,Aisle10,High,2025-08-03
Edtech Technology Product 004,32.6,9.2,3.6,1.5,False,Mezzanine5,Low,2025-08-04
Edtech Technology Product 005,363.8,16.4,3.8,5.0,False,FastMoving,Medium,2025-08-05
Edtech Technology Product 006,330.6,3.4,4.2,3.2,False,ZoneD,Low,2025-08-06
Edtech Technology Product 007,678.2,5.8,6.2,2.3,True,Aisle4,Medium,2025-08-07
Edtech Technology Product 008,387.4,15.9,3.4,2.3,False,PalletArea5,High,2025-08-08
Edtech Technology Product 009,161.1,10.9,1.2,3.6,False,ZoneH,Low,2025-08-09
Edtech Technology Product 010,224.3,4.4,1.4,2.5,True,Floor1,High,2025-08-10
Edtech Technology Product 011,462.4,1.2,3.0,1.1,True,StandardLane,Medium,2025-08-11
Edtech Technology Product 012,104.2,3.0,0.9,3.4,False,Aisle8,High,2025-08-12
Edtech Technology Product 013,72.5,9.5,2.9,1.1,True,ZoneE,Low,2025-08-13
Edtech Technology Product 014,540.5,10.0,4.0,2.6,True,PremiumLane,Low,2025-08-14
Edtech Technology Product 015,127.3,3.5,0.9,3.5,False,Seasonal,Low,2025-08-15
Edtech Technology Product 016,464.7,0.7,3.8,4.1,False,Priority3,High,2025-08-16
Edtech Technology Product 017,251.2,8.7,2.4,2.7,True,HighBay4,High,2025-08-17
Edtech Technology Product 018,23.6,1.0,1.0,3.2,True,Priority1,Low,2025-08-18
Edtech Technology Product 019,545.0,4.8,7.8,4.2,True,PalletArea1,High,2025-08-19
Edtech Technology Product 020,319.3,2.6,4.8,2.9,False,Aisle10,Low,2025-08-20
Edtech Technology Product 021,113.6,8.1,2.9,0.8,False,SectionH,Low,2025-08-21
Edtech Technology Product 022,625.6,5.4,5.4,1.5,False,Basement2,Low,2025-08-22
Edtech Technology Product 023,260.3,8.6,0.9,1.2,False,Aisle10,Medium,2025-08-23
Edtech Technology Product 024,399.1,3.9,3.4,1.7,True,ShelfArea5,Low,2025-08-24
Edtech Technology Product 025,449.0,6.6,3.8,0.8,False,Rack5,Medium,2025-08-25
Edtech Technology Product 026,440.0,5.9,4.8,4.4,False,LoadingDock1,High,2025-08-26
Edtech Technology Product 027,662.2,10.6,3.1,5.0,False,SlowMoving,Medium,2025-08-27
Edtech Technology Product 028,425.5,11.5,6.9,1.9,False,Floor1,Medium,2025-08-28
