Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Healthtech Technology Product 001,418.7,8.5,2.5,1.7,False,Basement2,High,2025-08-01
Healthtech Technology Product 002,457.8,1.5,1.7,2.6,True,ManualStorage2,Medium,2025-08-02
Healthtech Technology Product 003,313.8,11.9,4.6,2.5,False,Rack10,High,2025-08-03
Healthtech Technology Product 004,354.2,8.9,1.6,5.0,True,ZoneE,Medium,2025-08-04
Healthtech Technology Product 005,72.2,7.2,1.1,2.8,False,LoadingDock1,High,2025-08-05
Healthtech Technology Product 006,700.2,8.9,1.5,3.7,True,Aisle9,High,2025-08-06
Healthtech Technology Product 007,156.4,8.8,4.6,2.2,True,Floor2,Medium,2025-08-07
Healthtech Technology Product 008,108.0,8.5,2.3,3.6,False,ZoneG,Low,2025-08-08
Healthtech Technology Product 009,10.6,11.4,0.4,1.9,False,SectionH,Medium,2025-08-09
Healthtech Technology Product 010,329.9,5.6,4.9,3.1,True,ShelfArea5,Low,2025-08-10
Healthtech Technology Product 011,253.7,9.0,0.8,4.1,False,SectionC,Medium,2025-08-11
Healthtech Technology Product 012,547.7,4.6,5.8,0.6,False,ZoneA,Medium,2025-08-12
Healthtech Technology Product 013,369.7,3.7,2.1,0.6,True,PalletArea4,High,2025-08-13
Healthtech Technology Product 014,176.7,9.9,2.2,0.7,True,SectionA,High,2025-08-14
Healthtech Technology Product 015,127.7,5.1,2.5,5.4,False,PalletArea5,Low,2025-08-15
Healthtech Technology Product 016,735.9,4.0,4.5,2.0,True,PalletArea5,High,2025-08-16
Healthtech Technology Product 017,114.1,0.9,4.5,5.5,False,SectionG,High,2025-08-17
Healthtech Technology Product 018,722.0,9.2,4.6,1.0,False,ShelfArea1,High,2025-08-18
Healthtech Technology Product 019,70.5,0.7,6.1,1.0,False,Aisle2,Medium,2025-08-19
Healthtech Technology Product 020,181.7,6.6,3.2,4.6,False,Priority5,High,2025-08-20
Healthtech Technology Product 021,467.8,1.3,4.3,1.3,True,LoadingDock4,High,2025-08-21
Healthtech Technology Product 022,92.7,8.2,3.3,1.2,False,SmallItemStorage,High,2025-08-22
Healthtech Technology Product 023,19.3,12.6,2.5,0.6,False,HazardousStorage,Low,2025-08-23
Healthtech Technology Product 024,64.5,13.1,5.2,2.8,True,OverflowStorage,Medium,2025-08-24
Healthtech Technology Product 025,526.3,10.8,3.9,0.9,False,ManualStorage1,High,2025-08-25
Healthtech Technology Product 026,48.9,12.0,8.2,5.8,True,EconomyLane,Low,2025-08-26
Healthtech Technology Product 027,9.4,7.7,6.3,1.5,False,PalletArea4,Medium,2025-08-27
Healthtech Technology Product 028,523.9,6.1,5.4,3.8,True,QualityControl,High,2025-08-28
Healthtech Technology Product 029,180.3,12.6,0.6,3.9,True,Aisle2,Low,2025-08-29
Healthtech Technology Product 030,305.7,5.1,1.2,2.8,False,PalletArea3,Medium,2025-08-30
Healthtech Technology Product 031,12.1,7.6,2.5,3.2,False,Priority3,High,2025-08-01
