Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Cleantech Technology Product 001,438.2,0.6,4.2,2.2,True,LoadingDock5,High,2025-08-01
Cleantech Technology Product 002,322.8,1.3,2.4,0.6,True,ManualStorage2,Medium,2025-08-02
Cleantech Technology Product 003,361.8,1.6,2.6,3.4,False,Basement1,Low,2025-08-03
Cleantech Technology Product 004,368.9,10.9,5.7,0.9,False,LightItems,High,2025-08-04
Cleantech Technology Product 005,308.8,7.2,4.0,0.6,True,Basement4,Low,2025-08-05
Cleantech Technology Product 006,35.1,10.1,2.1,2.6,True,FragileItems,Medium,2025-08-06
Cleantech Technology Product 007,208.3,1.6,0.7,0.8,True,HighBay1,Low,2025-08-07
Cleantech Technology Product 008,230.8,9.7,3.1,2.0,False,ManualStorage4,Medium,2025-08-08
Cleantech Technology Product 009,233.1,10.2,5.9,3.7,True,Floor4,Medium,2025-08-09
Cleantech Technology Product 010,200.8,3.9,4.6,3.9,False,AutomatedStorage5,Low,2025-08-10
Cleantech Technology Product 011,295.2,10.3,4.9,2.9,True,ExpressLane,High,2025-08-11
Cleantech Technology Product 012,120.2,13.3,4.0,3.9,True,Priority2,Medium,2025-08-12
Cleantech Technology Product 013,379.8,3.4,3.4,1.2,False,Mezzanine2,Low,2025-08-13
Cleantech Technology Product 014,133.0,2.9,2.4,5.1,False,ManualStorage5,Low,2025-08-14
Cleantech Technology Product 015,70.6,13.8,4.4,3.5,False,Aisle5,Low,2025-08-15
Cleantech Technology Product 016,248.1,8.8,1.4,3.1,True,SmallItemStorage,Low,2025-08-16
Cleantech Technology Product 017,399.4,11.1,5.0,0.7,True,HighBay3,Medium,2025-08-17
Cleantech Technology Product 018,90.9,6.5,1.1,1.9,False,Aisle10,Medium,2025-08-18
Cleantech Technology Product 019,306.5,5.4,3.2,4.6,True,Aisle5,Low,2025-08-19
Cleantech Technology Product 020,629.3,11.3,4.2,3.1,False,Priority5,High,2025-08-20
Cleantech Technology Product 021,234.5,12.4,7.2,2.2,True,HeavyItems,High,2025-08-21
Cleantech Technology Product 022,507.7,8.4,6.9,2.8,False,ManualStorage5,Low,2025-08-22
Cleantech Technology Product 023,636.4,8.3,1.0,4.1,False,Priority1,High,2025-08-23
Cleantech Technology Product 024,488.7,2.1,0.9,3.1,True,ShelfArea5,High,2025-08-24
